feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,20,20,16,4,0,0.6,0.8,0.2
Fruits,monotonic_up,global,24,26,10,16,0,-0.23076923076923078,0.38461538461538464,0.6153846153846154
Veggies,monotonic_up,global,24,25,6,19,0,-0.52,0.24,0.76
AnyHealthcare,monotonic_up,global,37,42,0,42,0,-1.0,0.0,1.0
CholCheck,monotonic_up,global,109,167,0,167,0,-1.0,0.0,1.0
Education,monotonic_up,global,43,46,10,36,0,-1.6304347826086956,0.21739130434782608,0.782608695652174
Income,monotonic_up,global,48,57,40,17,0,3.0526315789473686,0.7017543859649122,0.2982456140350877
Smoker,monotonic_down,global,25,26,10,16,0,0.23076923076923078,0.38461538461538464,0.6153846153846154
HvyAlcoholConsump,monotonic_down,global,61,79,0,79,0,1.0,0.0,1.0
NoDocbcCost,monotonic_down,global,15,15,0,15,0,1.0,0.0,1.0
HighBP,monotonic_down,global,84,98,98,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,43,49,49,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,global,86,120,116,4,0,-2.2083333333333335,0.9666666666666667,0.03333333333333333
MentHlth,monotonic_down,global,55,61,15,46,0,7.213114754098361,0.2459016393442623,0.7540983606557377
PhysHlth,monotonic_down,global,33,36,29,7,0,-9.555555555555555,0.8055555555555556,0.19444444444444445
BMI,bidirectional,global,168,479,479,0,0,-21.29081419624217,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,31,33,33,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,12,12,12,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,7,10,10,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,34,38,38,0,0,1.5263157894736843,1.0,0.0
Income,monotonic_up,per_query,80,111,111,0,0,5.018018018018018,1.0,0.0
Smoker,monotonic_down,per_query,12,12,12,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,4,4,4,0,0,-1.0,1.0,0.0
HighBP,monotonic_down,per_query,110,149,149,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,72,92,92,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,118,188,188,0,0,-2.3404255319148937,1.0,0.0
MentHlth,monotonic_down,per_query,33,42,42,0,0,-9.404761904761905,1.0,0.0
PhysHlth,monotonic_down,per_query,61,79,79,0,0,-14.645569620253164,1.0,0.0
BMI,bidirectional,per_query,186,672,672,0,0,-21.15238095238096,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
