i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,1.0,2.3745454545454545,0.17142857142857143,9.42,2.900530917880771,0.8833333333333334,0.4,0.0
1,5,1.0,2.480606060606061,0.1619047619047619,6.6,3.0728524428719575,0.6333333333333333,1.2,0.0
2,5,1.0,4.568484848484848,0.22857142857142856,18.06,3.8189884703105057,0.64,1.8,0.0
3,5,1.0,2.6166666666666667,0.21904761904761902,8.139999999999999,3.559201240076503,0.74,1.2,0.0
4,5,1.0,2.874848484848485,0.2571428571428572,9.319999999999999,2.71746035565553,0.7466666666666668,1.4,0.0
5,5,1.0,3.228787878787879,0.26666666666666666,16.44,3.8710616870469665,0.8133333333333332,1.0,0.0
6,5,1.0,3.1957575757575762,0.22857142857142856,12.48,4.24077109678056,0.86,0.8,0.0
7,4,1.0,1.599621212121212,0.15476190476190477,6.333333333333333,2.8909482154531965,0.625,1.25,0.0
8,4,1.0,3.2799242424242427,0.21428571428571427,8.383333333333335,2.541644903278039,0.7875000000000001,1.0,0.0
9,5,1.0,3.1627272727272726,0.18095238095238095,10.36,2.4446807625170783,0.8266666666666668,0.6,0.0
10,5,1.0,2.1903030303030304,0.21904761904761902,10.280000000000001,2.530573403231291,0.6133333333333334,1.8,0.0
11,5,1.0,2.213939393939394,0.26666666666666666,7.8,3.8843367410441414,0.5742857142857143,2.4,0.0
12,5,1.0,2.001212121212121,0.19047619047619047,10.18,2.2450659671613207,0.9,0.4,0.0
13,5,0.8,2.0624242424242425,0.1619047619047619,7.7799999999999985,2.866679377422608,0.8,0.6,0.0
14,4,1.0,2.0295454545454548,0.15476190476190477,6.0,1.7899588051009336,1.0,0.0,0.0
15,5,1.0,4.175454545454546,0.2857142857142857,16.18,4.458706457177302,0.7466666666666667,1.4,0.0
16,5,1.0,2.0527272727272727,0.19047619047619047,7.8,3.064619465144613,0.7033333333333334,1.2,0.0
17,4,1.0,2.106060606060606,0.17857142857142858,9.833333333333334,2.475686595713217,1.0,0.0,0.0
18,5,1.0,2.9796969696969695,0.18095238095238095,9.16,2.292209258702421,0.8333333333333333,0.6,0.0
19,5,1.0,2.490909090909091,0.24761904761904763,14.080000000000002,3.2675188078554758,0.7766666666666666,1.2,0.0
20,4,1.0,3.0719696969696972,0.21428571428571427,16.533333333333335,3.000111586812255,0.7250000000000001,1.25,0.0
21,5,1.0,1.9624242424242424,0.22857142857142856,13.540000000000001,3.5067229370649615,0.79,1.0,0.0
22,5,1.0,2.4593939393939395,0.21904761904761902,14.52,3.625961806067846,0.74,1.2,0.0
23,5,1.0,2.17,0.1619047619047619,9.32,2.724233311187965,0.9,0.4,0.0
24,5,1.0,1.626666666666667,0.14285714285714285,11.059999999999999,2.3458284204807165,0.7999999999999999,0.6,0.0
25,5,1.0,3.0324242424242422,0.20952380952380953,8.2,3.9085760834132848,0.82,0.8,0.0
26,5,1.0,1.9057575757575758,0.2,12.36,2.7415468512985033,0.65,1.6,0.0
27,5,1.0,3.1433333333333335,0.21904761904761902,9.280000000000001,2.944147199865117,0.8300000000000001,0.8,0.0
28,4,1.0,2.881060606060606,0.27380952380952384,9.5,3.56088200065023,0.7333333333333333,1.5,0.0
29,5,1.0,1.145151515151515,0.11428571428571428,8.22,2.196300568738764,0.8666666666666666,0.4,0.0
30,5,1.0,2.7072727272727275,0.24761904761904763,12.139999999999999,3.6965548030159154,0.6266666666666667,2.0,0.0
31,5,1.0,2.226969696969697,0.20952380952380953,12.780000000000001,3.4130769405393644,0.5599999999999999,2.0,0.0
32,5,1.0,2.996666666666667,0.29523809523809524,9.34,3.5187433254116076,0.7095238095238096,1.8,0.0
33,5,1.0,5.695151515151515,0.26666666666666666,20.779999999999998,2.3062934783565106,0.85,0.8,0.0
34,5,1.0,1.7706060606060603,0.19047619047619047,12.220000000000002,2.918787804599589,0.8,0.8,0.0
35,5,1.0,1.6306060606060604,0.2,8.2,3.802309797724674,0.8033333333333333,0.8,0.0
36,5,1.0,1.8199999999999998,0.1619047619047619,10.8,2.735617818595,0.5333333333333333,1.6,0.0
37,5,1.0,3.7690909090909095,0.29523809523809524,18.08,4.597939808559997,0.7428571428571429,1.6,0.0
38,4,1.0,1.7007575757575757,0.19047619047619047,5.0,2.772682266053451,0.6291666666666667,1.5,0.0
39,5,1.0,2.312121212121212,0.19047619047619047,11.06,2.877030274906192,0.7133333333333333,1.2,0.0
40,2,1.0,2.721212121212121,0.21428571428571427,3.0,2.9377817400592083,0.8,1.0,0.0
41,5,1.0,3.358181818181818,0.2571428571428572,18.560000000000002,3.7199840665994355,0.8400000000000001,0.8,0.0
42,5,1.0,1.792727272727273,0.18095238095238095,9.4,2.8826373185891088,0.75,1.0,0.0
43,5,1.0,3.5263636363636364,0.2761904761904762,11.860000000000001,2.5627829169073038,0.86,0.8,0.0
44,5,1.0,2.9484848484848483,0.26666666666666666,14.0,4.874946977213073,0.8533333333333335,0.8,0.0
45,5,1.0,2.865151515151515,0.19047619047619047,13.2,2.810308717018199,0.78,1.0,0.0
46,5,1.0,2.168787878787879,0.2,11.72,3.7496578355928674,0.9099999999999999,0.4,0.0
47,5,1.0,1.1984848484848485,0.14285714285714285,9.3,2.920892857712044,0.8833333333333334,0.4,0.0
48,4,1.0,2.363257575757576,0.23809523809523808,7.833333333333333,3.857391891446741,0.8666666666666667,0.75,0.0
49,5,1.0,4.6893939393939394,0.2761904761904762,25.119999999999997,3.9039871508254285,0.7933333333333333,1.2,0.0
50,4,1.0,2.3609848484848484,0.17857142857142858,10.75,3.026431534525343,0.6875,1.25,0.0
51,5,1.0,1.876969696969697,0.2,11.32,2.5976548035657197,0.42000000000000004,2.4,0.0
52,5,1.0,3.349090909090909,0.23809523809523808,16.08,5.0032053633163045,0.8366666666666667,0.8,0.0
53,5,1.0,2.327878787878788,0.17142857142857143,8.84,2.673873422952673,0.75,1.0,0.0
54,5,1.0,2.5187878787878786,0.20952380952380953,10.9,3.6877818661276907,0.8799999999999999,0.6,0.0
55,5,1.0,2.2054545454545456,0.2,13.959999999999999,4.410402312257824,0.6733333333333333,1.4,0.0
56,5,1.0,2.188484848484849,0.14285714285714285,11.34,2.112378229908756,0.7333333333333333,0.8,0.0
57,5,1.0,3.4733333333333336,0.22857142857142856,18.0,4.125525827444296,0.96,0.2,0.0
58,5,1.0,3.162121212121212,0.2,14.16,3.4302812785846073,0.8133333333333332,0.8,0.0
59,4,1.0,4.366666666666667,0.27380952380952384,16.216666666666665,3.237663949400345,0.8250000000000001,1.0,0.0
60,5,1.0,2.5709090909090913,0.22857142857142856,10.4,3.8188092259377147,0.7266666666666666,1.4,0.0
61,5,1.0,2.284242424242424,0.21904761904761902,10.12,2.758096190554156,0.8699999999999999,0.6,0.0
62,5,1.0,3.8209090909090913,0.22857142857142856,20.56,3.0656442627351845,0.8400000000000001,0.8,0.0
63,5,1.0,3.187878787878788,0.22857142857142856,12.8,3.1730324092864954,0.7133333333333333,1.4,0.0
64,5,1.0,2.3412121212121213,0.21904761904761902,10.3,2.7705903493667243,0.62,1.8,0.0
65,5,1.0,1.4930303030303032,0.1523809523809524,6.860000000000001,2.747244472473419,0.7166666666666666,1.0,0.0
66,5,1.0,4.05,0.29523809523809524,14.380000000000004,2.7420482159442954,0.880952380952381,0.8,0.0
67,4,1.0,2.581439393939394,0.21428571428571427,14.583333333333334,2.962498344241019,0.7875,1.0,0.0
68,5,1.0,1.4878787878787878,0.17142857142857143,11.620000000000001,3.7401641218911754,0.8833333333333332,0.4,0.0
69,5,1.0,2.008787878787879,0.19047619047619047,7.260000000000001,2.3881232767556435,0.9,0.4,0.0
70,5,1.0,2.406666666666667,0.2,12.599999999999998,3.2089678646981104,0.9,0.4,0.0
71,5,1.0,2.4821212121212124,0.21904761904761902,12.100000000000001,2.7858798810752177,0.8133333333333332,1.0,0.0
72,5,1.0,3.220606060606061,0.1523809523809524,14.16,2.9815039820142073,0.7499999999999999,0.8,0.0
73,3,1.0,2.074747474747475,0.2698412698412699,2.6666666666666665,2.7794761034354423,0.5888888888888889,2.3333333333333335,0.0
74,5,1.0,4.7672727272727276,0.2571428571428572,22.4,3.989930416422526,0.8133333333333332,1.0,0.0
75,5,1.0,2.123333333333334,0.19047619047619047,14.8,3.9127718939809,0.5533333333333333,1.8,0.0
76,5,1.0,2.473636363636364,0.24761904761904763,8.8,2.4020868800474755,0.8800000000000001,0.6,0.0
77,5,1.0,3.6787878787878787,0.26666666666666666,9.120000000000001,2.99797838497006,0.6166666666666666,2.2,0.0
78,5,1.0,2.3730303030303035,0.21904761904761902,9.0,3.3497100741345647,0.78,1.0,0.0
79,5,1.0,1.738787878787879,0.22857142857142856,10.98,3.5576534092004746,0.7533333333333333,1.2,0.0
80,5,1.0,3.126666666666667,0.2571428571428572,13.4,3.3061559769711484,0.9166666666666667,0.4,0.0
81,5,1.0,2.812121212121212,0.2571428571428572,18.14,3.9866460740875027,0.5633333333333332,2.2,0.0
82,5,1.0,2.062727272727273,0.2,5.8,2.630284648530444,0.6466666666666667,1.4,0.0
83,4,1.0,2.706439393939394,0.20238095238095238,6.516666666666668,3.0147359593561656,0.825,0.75,0.0
84,5,1.0,2.4372727272727275,0.26666666666666666,16.96,3.3198696171181363,0.6133333333333333,2.2,0.0
85,5,1.0,2.155757575757576,0.18095238095238095,9.120000000000001,2.964312069170861,0.6766666666666666,1.2,0.0
86,4,1.0,2.226136363636364,0.21428571428571427,7.833333333333333,3.2711596369112397,0.7625,1.0,0.0
87,4,1.0,1.7696969696969698,0.16666666666666666,11.75,2.8292642548317497,0.7083333333333333,1.0,0.0
88,5,1.0,1.8887878787878791,0.1619047619047619,9.24,2.2591833758494633,0.85,0.6,0.0
89,5,1.0,2.5312121212121212,0.2,10.06,4.51365702251613,0.72,1.2,0.0
