i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,1,0.0,1.0,0.047619047619047616,0.0,2.9954773319576327,1.0,0.0,0.0
1,1,1.0,1.0787878787878789,0.09523809523809523,0.0,4.287147011567816,1.0,0.0,0.0
2,1,1.0,2.696969696969697,0.09523809523809523,0.0,4.072917265601149,1.0,0.0,0.0
3,1,1.0,1.75,0.09523809523809523,0.0,5.850964738767975,1.0,0.0,0.0
4,1,0.0,1.0,0.047619047619047616,0.0,3.265051127836007,1.0,0.0,0.0
5,1,1.0,1.4242424242424243,0.047619047619047616,0.0,4.645682003645298,1.0,0.0,0.0
6,1,1.0,1.2,0.09523809523809523,0.0,5.187169196578543,1.0,0.0,0.0
7,1,0.0,0.25,0.047619047619047616,0.0,2.6479737472068696,1.0,0.0,0.0
8,1,1.0,1.8696969696969696,0.09523809523809523,0.0,3.8319425281791895,1.0,0.0,0.0
9,1,1.0,1.5,0.09523809523809523,0.0,4.090255795179828,1.0,0.0,0.0
10,1,1.0,1.9454545454545455,0.09523809523809523,0.0,3.0750715919532956,1.0,0.0,0.0
11,1,0.0,0.2,0.047619047619047616,0.0,4.660527766265244,1.0,0.0,0.0
12,1,1.0,1.4545454545454546,0.09523809523809523,0.0,2.9005689697295414,1.0,0.0,0.0
13,1,0.0,1.4,0.09523809523809523,0.0,3.67629294919875,1.0,0.0,0.0
14,1,1.0,0.8545454545454546,0.047619047619047616,0.0,1.8870920781730076,1.0,0.0,0.0
15,1,1.0,1.6666666666666665,0.09523809523809523,0.0,7.506353459492446,1.0,0.0,0.0
16,1,1.0,0.8363636363636364,0.047619047619047616,0.0,3.031884787203952,1.0,0.0,0.0
17,1,1.0,0.6545454545454545,0.047619047619047616,0.0,2.7272723550381506,1.0,0.0,0.0
18,1,1.0,2.1363636363636367,0.09523809523809523,0.0,2.1740526790512176,1.0,0.0,0.0
19,1,1.0,1.75,0.09523809523809523,0.0,3.530641527002399,1.0,0.0,0.0
20,1,0.0,0.0,0.0,0.0,4.211988717528831,0.0,0.0,0.0
21,1,1.0,1.25,0.09523809523809523,0.0,3.9432660312029153,1.0,0.0,0.0
22,1,1.0,1.6363636363636365,0.047619047619047616,0.0,3.958308442371495,1.0,0.0,0.0
23,1,1.0,1.4727272727272727,0.09523809523809523,0.0,2.591747498424263,1.0,0.0,0.0
24,1,1.0,0.5,0.047619047619047616,0.0,2.3266783498042325,1.0,0.0,0.0
25,1,1.0,2.412121212121212,0.09523809523809523,0.0,4.454396291817518,1.0,0.0,0.0
26,1,1.0,2.0666666666666664,0.09523809523809523,0.0,2.3161310767940058,1.0,0.0,0.0
27,1,1.0,1.4,0.09523809523809523,0.0,4.858959882058817,1.0,0.0,0.0
28,1,1.0,0.7333333333333333,0.047619047619047616,0.0,4.479461077800774,1.0,0.0,0.0
29,1,0.0,0.5,0.047619047619047616,0.0,2.215461783510642,1.0,0.0,0.0
30,1,0.0,0.6909090909090908,0.047619047619047616,0.0,5.116574740715428,1.0,0.0,0.0
31,1,1.0,1.25,0.09523809523809523,0.0,4.388743735121762,1.0,0.0,0.0
32,1,1.0,2.0,0.09523809523809523,0.0,5.610241094282267,1.0,0.0,0.0
33,1,1.0,3.396969696969697,0.09523809523809523,0.0,2.760205246279962,1.0,0.0,0.0
34,1,1.0,1.4696969696969697,0.09523809523809523,0.0,3.8141254725874543,1.0,0.0,0.0
35,1,1.0,1.6,0.09523809523809523,0.0,4.9433300250863725,1.0,0.0,0.0
36,1,0.0,0.8484848484848485,0.047619047619047616,0.0,3.0135515399124326,1.0,0.0,0.0
37,1,1.0,1.0,0.09523809523809523,0.0,6.547493776533576,1.0,0.0,0.0
38,1,1.0,1.093939393939394,0.09523809523809523,0.0,3.10711083305374,1.0,0.0,0.0
39,1,1.0,0.75,0.047619047619047616,0.0,3.6302427853895978,1.0,0.0,0.0
40,1,1.0,0.9272727272727274,0.047619047619047616,0.0,3.3495397005021204,1.0,0.0,0.0
41,1,1.0,1.2136363636363634,0.09523809523809523,0.0,4.0828773844407715,1.0,0.0,0.0
42,1,1.0,1.1,0.09523809523809523,0.0,3.6453586342828452,1.0,0.0,0.0
43,1,1.0,1.7454545454545456,0.047619047619047616,0.0,3.721049341266368,1.0,0.0,0.0
44,1,0.0,0.0,0.0,0.0,5.1592557866188224,0.0,0.0,0.0
45,1,0.0,1.7,0.09523809523809523,0.0,3.602333786468606,1.0,0.0,0.0
46,1,1.0,1.9515151515151514,0.09523809523809523,0.0,4.180623947219419,1.0,0.0,0.0
47,1,1.0,1.2712121212121215,0.09523809523809523,0.0,3.297693482906423,1.0,0.0,0.0
48,1,1.0,1.25,0.09523809523809523,0.0,4.481694108521344,1.0,0.0,0.0
49,1,1.0,2.5272727272727273,0.047619047619047616,0.0,4.467354608908542,1.0,0.0,0.0
50,1,0.0,1.0,0.047619047619047616,0.0,2.9800533355981873,1.0,0.0,0.0
51,1,1.0,1.4696969696969697,0.09523809523809523,0.0,3.2923296990775333,1.0,0.0,0.0
52,1,1.0,2.3151515151515154,0.09523809523809523,0.0,5.223588315374993,1.0,0.0,0.0
53,1,1.0,1.3757575757575757,0.09523809523809523,0.0,2.4282809977363407,1.0,0.0,0.0
54,1,1.0,2.0,0.09523809523809523,0.0,4.560409580641774,1.0,0.0,0.0
55,1,1.0,1.5,0.09523809523809523,0.0,5.916848326928248,1.0,0.0,0.0
56,1,1.0,1.9969696969696968,0.09523809523809523,0.0,1.9147879470249105,1.0,0.0,0.0
57,1,1.0,1.8484848484848484,0.047619047619047616,0.0,5.058424957486615,1.0,0.0,0.0
58,1,0.0,0.5,0.047619047619047616,0.0,6.190210068622751,1.0,0.0,0.0
59,1,0.0,1.05,0.09523809523809523,0.0,7.043526501480463,1.0,0.0,0.0
60,1,0.0,0.6,0.047619047619047616,0.0,4.332931039099414,1.0,0.0,0.0
61,1,1.0,2.0303030303030303,0.09523809523809523,0.0,3.685485555825585,1.0,0.0,0.0
62,1,0.0,1.0,0.047619047619047616,0.0,5.815969140483563,1.0,0.0,0.0
63,1,1.0,1.0393939393939393,0.09523809523809523,0.0,3.3885879633596705,1.0,0.0,0.0
64,1,1.0,0.9575757575757576,0.047619047619047616,0.0,3.2261162362435862,1.0,0.0,0.0
65,1,1.0,2.393939393939394,0.09523809523809523,0.0,3.1306377321166106,1.0,0.0,0.0
66,1,1.0,2.63030303030303,0.09523809523809523,0.0,3.707453068856421,1.0,0.0,0.0
67,1,1.0,1.587878787878788,0.09523809523809523,0.0,3.0609102344592505,1.0,0.0,0.0
68,1,1.0,0.9575757575757576,0.047619047619047616,0.0,4.187658135510933,1.0,0.0,0.0
69,1,0.0,0.7818181818181817,0.047619047619047616,0.0,2.5750120606655162,1.0,0.0,0.0
70,1,1.0,0.946969696969697,0.09523809523809523,0.0,3.7628677886536472,1.0,0.0,0.0
71,1,1.0,1.0969696969696972,0.047619047619047616,0.0,2.5730655205713195,1.0,0.0,0.0
72,1,1.0,2.2666666666666666,0.047619047619047616,0.0,3.408032313913405,1.0,0.0,0.0
73,1,1.0,1.412121212121212,0.09523809523809523,0.0,4.020768510467011,1.0,0.0,0.0
74,1,1.0,3.621212121212121,0.09523809523809523,0.0,4.35068344245749,1.0,0.0,0.0
75,1,1.0,1.3303030303030303,0.09523809523809523,0.0,3.8162080694285585,1.0,0.0,0.0
76,1,0.0,0.7575757575757576,0.047619047619047616,0.0,2.704059025391199,1.0,0.0,0.0
77,1,1.0,0.75,0.047619047619047616,0.0,4.533538738773514,1.0,0.0,0.0
78,1,1.0,1.6242424242424243,0.09523809523809523,0.0,3.2732491466709597,1.0,0.0,0.0
79,1,1.0,0.75,0.047619047619047616,0.0,3.946225990547976,1.0,0.0,0.0
80,1,1.0,1.2121212121212122,0.047619047619047616,0.0,3.766072046289753,1.0,0.0,0.0
81,1,1.0,0.5,0.047619047619047616,0.0,7.469389709934988,1.0,0.0,0.0
82,1,1.0,1.2484848484848485,0.09523809523809523,0.0,4.702499512019288,1.0,0.0,0.0
83,1,1.0,1.3636363636363635,0.047619047619047616,0.0,3.161081402540507,1.0,0.0,0.0
84,1,0.0,0.75,0.047619047619047616,0.0,4.588205206822543,1.0,0.0,0.0
85,1,0.0,0.2606060606060607,0.047619047619047616,0.0,3.023325573562464,1.0,0.0,0.0
86,1,0.0,0.38787878787878777,0.047619047619047616,0.0,2.912228322969176,1.0,0.0,0.0
87,1,1.0,1.7272727272727273,0.09523809523809523,0.0,3.395727804652859,1.0,0.0,0.0
88,1,1.0,0.9575757575757576,0.047619047619047616,0.0,2.474077532886901,1.0,0.0,0.0
89,1,1.0,1.3666666666666667,0.09523809523809523,0.0,4.384980206402102,1.0,0.0,0.0
90,1,1.0,0.5151515151515151,0.047619047619047616,0.0,3.3649054268140572,1.0,0.0,0.0
91,1,1.0,1.5515151515151517,0.09523809523809523,0.0,4.6120467651783255,1.0,0.0,0.0
92,1,0.0,1.012121212121212,0.09523809523809523,0.0,5.718555555891264,1.0,0.0,0.0
93,1,1.0,2.606060606060606,0.047619047619047616,0.0,4.677904851935228,1.0,0.0,0.0
94,1,1.0,0.7515151515151517,0.09523809523809523,0.0,3.522857098401913,1.0,0.0,0.0
95,1,1.0,1.0,0.09523809523809523,0.0,3.975238258154869,1.0,0.0,0.0
96,1,1.0,1.2424242424242424,0.09523809523809523,0.0,5.691746351267244,1.0,0.0,0.0
97,1,1.0,0.8939393939393939,0.09523809523809523,0.0,4.05713318225986,1.0,0.0,0.0
98,1,0.0,0.6848484848484849,0.047619047619047616,0.0,3.858658169948687,1.0,0.0,0.0
99,1,0.0,0.0,0.0,0.0,8.271103814722322,0.0,0.0,0.0
100,1,0.0,0.7333333333333334,0.047619047619047616,0.0,3.159530865689953,1.0,0.0,0.0
101,1,0.0,0.0,0.0,0.0,4.666174161120733,0.0,0.0,0.0
102,1,1.0,2.806060606060606,0.09523809523809523,0.0,3.3192938107605534,1.0,0.0,0.0
103,1,1.0,1.4787878787878788,0.047619047619047616,0.0,5.752373220230579,1.0,0.0,0.0
104,1,1.0,1.3878787878787877,0.047619047619047616,0.0,3.4903561180295113,1.0,0.0,0.0
105,1,1.0,1.3454545454545455,0.047619047619047616,0.0,3.278525214866619,1.0,0.0,0.0
106,1,1.0,2.193939393939394,0.09523809523809523,0.0,4.2088698793495745,1.0,0.0,0.0
107,1,0.0,1.0,0.047619047619047616,0.0,3.3422220627802903,1.0,0.0,0.0
108,1,1.0,0.903030303030303,0.047619047619047616,0.0,5.248447833664227,1.0,0.0,0.0
109,1,0.0,1.0,0.047619047619047616,0.0,6.29320979099059,1.0,0.0,0.0
110,1,1.0,1.7075757575757575,0.09523809523809523,0.0,3.6836772687484514,1.0,0.0,0.0
111,1,0.0,1.1696969696969695,0.047619047619047616,0.0,2.2029007473491684,1.0,0.0,0.0
