feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,13,14,10,4,0,0.42857142857142855,0.7142857142857143,0.2857142857142857
Fruits,monotonic_up,global,13,13,4,9,0,-0.38461538461538464,0.3076923076923077,0.6923076923076923
Veggies,monotonic_up,global,14,14,7,7,0,0.0,0.5,0.5
AnyHealthcare,monotonic_up,global,34,35,0,35,0,-1.0,0.0,1.0
CholCheck,monotonic_up,global,70,85,0,85,0,-1.0,0.0,1.0
Education,monotonic_up,global,25,25,6,19,0,-1.4,0.24,0.76
Income,monotonic_up,global,38,44,38,6,0,3.840909090909091,0.8636363636363636,0.13636363636363635
Smoker,monotonic_down,global,9,9,4,5,0,0.1111111111111111,0.4444444444444444,0.5555555555555556
HvyAlcoholConsump,monotonic_down,global,54,60,0,60,0,1.0,0.0,1.0
NoDocbcCost,monotonic_down,global,7,7,0,7,0,1.0,0.0,1.0
HighBP,monotonic_down,global,56,62,62,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,35,41,40,1,0,-0.9512195121951219,0.975609756097561,0.024390243902439025
GenHlth,monotonic_down,global,76,91,86,5,0,-1.967032967032967,0.945054945054945,0.054945054945054944
MentHlth,monotonic_down,global,25,26,11,15,0,-0.3076923076923077,0.4230769230769231,0.5769230769230769
PhysHlth,monotonic_down,global,30,31,26,5,0,-11.0,0.8387096774193549,0.16129032258064516
BMI,bidirectional,global,169,302,302,0,0,-21.768543046357614,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,15,16,16,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,8,9,9,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,2,2,2,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,26,26,26,0,0,1.5,1.0,0.0
Income,monotonic_up,per_query,68,80,80,0,0,4.55,1.0,0.0
Smoker,monotonic_down,per_query,3,3,3,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,2,2,2,0,0,-1.0,1.0,0.0
HighBP,monotonic_down,per_query,59,72,72,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,56,63,63,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,96,136,136,0,0,-2.2720588235294117,1.0,0.0
MentHlth,monotonic_down,per_query,21,24,24,0,0,-12.375,1.0,0.0
PhysHlth,monotonic_down,per_query,37,46,46,0,0,-14.891304347826088,1.0,0.0
BMI,bidirectional,per_query,188,421,421,0,0,-21.295249406175774,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
