i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,0.8,1.5751515151515152,0.05714285714285714,30.8,4.784264008812385,0.7,0.2,0.0
1,5,1.0,1.7563636363636363,0.06666666666666667,18.380000000000003,3.3929194667893428,0.8,0.4,0.0
2,5,0.6,0.7727272727272727,0.05714285714285714,17.419999999999998,3.5193400806731954,0.8,0.0,0.0
3,5,0.8,0.9260606060606061,0.06666666666666667,9.16,3.1297988662133545,0.8,0.4,0.0
4,5,0.6,0.8103030303030303,0.05714285714285714,8.96,5.152338137534977,0.6,0.2,0.0
5,5,0.8,1.062121212121212,0.06666666666666667,6.56,2.8548710197361196,0.5,0.6,0.0
6,5,0.4,0.6284848484848485,0.05714285714285714,7.780000000000001,4.394094322928911,1.0,0.0,0.0
7,5,0.8,0.9312121212121213,0.06666666666666667,8.319999999999999,3.073102208635466,0.7,0.4,0.0
8,5,0.8,1.2490909090909093,0.06666666666666667,11.06,3.653328413329551,0.6,0.6,0.0
9,5,0.8,1.1012121212121213,0.05714285714285714,12.72,2.7161498401959396,0.8,0.4,0.0
10,5,0.6,1.3596969696969698,0.0761904761904762,23.22,5.300925770861038,0.8,0.4,0.0
11,5,0.8,1.5172727272727273,0.08571428571428572,19.8,4.294964369006272,0.7,0.4,0.0
12,5,1.0,1.4909090909090907,0.08571428571428572,25.380000000000003,4.23796776621959,0.4,1.0,0.0
13,5,0.6,1.173939393939394,0.06666666666666667,20.04,4.843315845979478,0.7,0.4,0.0
14,5,0.4,0.7933333333333333,0.047619047619047616,10.2,3.857240851796115,0.6,0.4,0.0
15,5,0.6,0.9442424242424243,0.05714285714285714,14.040000000000001,2.6940251760657175,0.3,0.8,0.0
16,5,0.8,1.1306060606060606,0.05714285714285714,12.140000000000002,3.3246424594136283,0.4,0.6,0.0
17,5,0.8,1.2709090909090908,0.05714285714285714,23.119999999999997,9.369278164949856,0.5,0.6,0.0
18,5,0.8,1.0042424242424244,0.06666666666666667,17.02,4.438709447774203,0.8,0.4,0.0
19,5,0.6,1.2315151515151517,0.05714285714285714,12.559999999999999,3.2407325384906813,0.5,0.4,0.0
20,5,0.8,1.2,0.05714285714285714,3.0,3.6779644264638818,0.3,0.8,0.0
21,5,1.0,1.2912121212121213,0.0761904761904762,12.4,4.592500512108754,0.6,0.6,0.0
22,5,0.6,1.2481818181818183,0.047619047619047616,19.32,4.230030463551839,0.5,0.2,0.0
23,5,0.8,1.3354545454545454,0.08571428571428572,11.040000000000001,3.6093834934957285,0.8,0.4,0.0
24,5,0.6,1.2878787878787878,0.0761904761904762,9.52,3.2475650244155854,0.6,0.6,0.0
25,5,1.0,1.8690909090909091,0.09523809523809523,17.46,3.8378462808056093,0.4,1.2,0.0
26,5,0.4,0.6599999999999999,0.05714285714285714,4.4,4.257179833010189,0.9,0.2,0.0
27,5,0.6,1.543939393939394,0.06666666666666667,16.0,4.531925964536595,0.9,0.2,0.0
28,5,0.2,0.9766666666666666,0.06666666666666667,4.0,3.289417314201828,0.9,0.2,0.0
29,5,0.8,1.2451515151515151,0.0761904761904762,17.96,5.360177638960798,0.9,0.2,0.0
30,5,1.0,1.129090909090909,0.06666666666666667,10.7,2.767928420546686,0.8,0.2,0.0
31,5,1.0,0.9,0.05714285714285714,2.2,4.010646849598963,0.7,0.4,0.0
32,5,0.8,0.8321212121212123,0.047619047619047616,11.32,4.727794890209579,0.6,0.4,0.0
33,5,0.6,1.0933333333333333,0.05714285714285714,10.960000000000003,3.8866435520649047,0.5,0.4,0.0
34,5,0.8,1.5175757575757576,0.08571428571428572,25.160000000000004,4.623986006402829,0.6,0.6,0.0
35,5,0.6,1.4469696969696968,0.09523809523809523,23.759999999999998,3.8179047629056457,0.6,0.8,0.0
36,5,0.8,1.0436363636363635,0.05714285714285714,11.459999999999999,2.9501298415551123,0.3,0.8,0.0
37,5,0.8,1.2157575757575756,0.05714285714285714,16.259999999999998,4.972435286914164,0.8,0.2,0.0
38,5,0.8,1.6490909090909092,0.0761904761904762,27.48,6.26742709111852,0.7,0.6,0.0
39,5,1.0,1.2963636363636364,0.0761904761904762,12.78,3.3343172184762344,0.8,0.4,0.0
40,5,0.6,1.4166666666666667,0.0761904761904762,12.2,3.1665684505143425,0.5,0.8,0.0
41,5,0.8,1.2472727272727273,0.06666666666666667,15.14,3.7700082642208304,0.4,1.0,0.0
42,5,0.8,1.4557575757575758,0.06666666666666667,10.440000000000001,3.0323209747181443,0.4,0.6,0.0
43,5,0.6,0.7272727272727273,0.05714285714285714,9.5,4.207612113930953,0.9,0.2,0.0
44,5,0.6,0.9806060606060607,0.0380952380952381,16.54,3.5617130440332456,0.6,0.2,0.0
45,5,1.0,1.2545454545454546,0.0761904761904762,19.380000000000003,4.27821569710427,1.0,0.0,0.0
46,5,0.8,1.221818181818182,0.06666666666666667,8.680000000000001,3.501527902133617,0.6,0.6,0.0
47,5,0.8,1.2733333333333332,0.0761904761904762,6.2,4.0381391949305,0.2,1.2,0.0
48,5,1.0,0.8042424242424243,0.06666666666666667,10.28,4.626678955613665,1.0,0.0,0.0
49,5,0.6,1.149090909090909,0.0761904761904762,20.7,3.6010142276358303,0.4,1.0,0.0
50,5,0.8,1.0654545454545454,0.047619047619047616,13.34,2.4511100100265364,1.0,0.0,0.0
