i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,0.8,1.2363636363636363,0.0380952380952381,18.62,3.536279823745893,0.8,0.0,0.0
1,5,0.6,1.5272727272727273,0.0761904761904762,11.36,4.176971091591623,1.0,0.0,0.0
2,5,0.4,0.6245454545454545,0.05714285714285714,10.48,3.1970704396636496,1.0,0.0,0.0
3,5,0.6,1.0254545454545454,0.05714285714285714,21.2,3.177458163069641,0.8,0.0,0.0
4,5,1.0,0.6636363636363638,0.06666666666666667,4.319999999999999,4.9730394048142585,1.0,0.0,0.0
5,5,1.0,1.3587878787878789,0.08571428571428572,11.84,2.8754422954502408,1.0,0.0,0.0
6,5,1.0,1.0406060606060605,0.09523809523809523,13.0,4.108433156711755,1.0,0.0,0.0
7,5,0.6,0.9,0.0761904761904762,4.8,3.082204641386978,1.0,0.0,0.0
8,5,0.4,0.8454545454545455,0.06666666666666667,11.34,3.32562282417983,1.0,0.0,0.0
9,5,0.8,1.3451515151515152,0.0761904761904762,21.72,2.9038193142043993,1.0,0.0,0.0
10,5,1.0,1.0103030303030303,0.05714285714285714,5.42,4.7378416804241565,1.0,0.0,0.0
11,5,1.0,1.5651515151515152,0.0761904761904762,12.6,3.44835302409861,1.0,0.0,0.0
12,5,1.0,1.68969696969697,0.08571428571428572,4.98,3.5721401086125826,1.0,0.0,0.0
13,5,0.6,1.601212121212121,0.06666666666666667,17.2,4.464891610551065,1.0,0.0,0.0
14,5,0.6,0.6909090909090909,0.047619047619047616,10.68,3.6516137335987686,1.0,0.0,0.0
15,5,0.8,1.168181818181818,0.0761904761904762,9.02,2.1560290834992557,1.0,0.0,0.0
16,5,0.8,1.0460606060606061,0.05714285714285714,13.419999999999998,3.34359571721623,0.8,0.0,0.0
17,5,0.6,1.3333333333333335,0.05714285714285714,26.5,7.837293259261416,0.8,0.0,0.0
18,5,0.8,0.5984848484848484,0.05714285714285714,13.48,4.518239497562442,1.0,0.0,0.0
19,5,1.0,1.4154545454545453,0.08571428571428572,9.719999999999999,2.973472500774793,1.0,0.0,0.0
20,5,0.4,0.9136363636363637,0.047619047619047616,14.98,3.240874760155076,0.6,0.0,0.0
21,5,0.8,0.8381818181818181,0.05714285714285714,13.860000000000003,4.813613104087986,0.8,0.0,0.0
22,5,1.0,2.1939393939393943,0.09523809523809523,29.060000000000002,4.75176346300505,1.0,0.0,0.0
23,5,0.4,0.5972727272727273,0.047619047619047616,19.499999999999996,3.6046466209309282,0.6,0.0,0.0
24,5,0.6,0.6939393939393941,0.06666666666666667,13.679999999999998,3.8500151509225526,1.0,0.0,0.0
25,5,1.0,1.5845454545454545,0.09523809523809523,13.639999999999997,3.5055058742685685,1.0,0.0,0.0
26,5,0.6,0.5733333333333334,0.06666666666666667,7.2,4.1457319564314385,1.0,0.0,0.0
27,5,0.8,1.435757575757576,0.0761904761904762,19.22,4.200458267158396,0.8,0.0,0.0
28,5,0.8,1.2675757575757576,0.0761904761904762,11.440000000000001,3.6272117248571645,1.0,0.0,0.0
29,5,0.6,0.8842424242424244,0.0761904761904762,12.9,5.295305186710378,1.0,0.0,0.0
30,5,1.0,1.083030303030303,0.0761904761904762,5.379999999999999,2.5969919264287036,1.0,0.0,0.0
31,5,0.6,1.2684848484848485,0.0761904761904762,24.580000000000002,3.715937412969681,1.0,0.0,0.0
32,5,0.8,1.4684848484848487,0.06666666666666667,18.46,4.442253011144289,1.0,0.0,0.0
33,5,0.8,0.6933333333333334,0.05714285714285714,12.940000000000001,3.7813975917277274,1.0,0.0,0.0
34,5,0.4,0.8009090909090908,0.05714285714285714,17.139999999999997,4.097713918935304,0.6,0.0,0.0
35,5,1.0,1.3769696969696972,0.08571428571428572,11.339999999999998,3.400174281996803,1.0,0.0,0.0
36,5,0.8,1.2827272727272727,0.0761904761904762,11.799999999999999,2.6794224220971827,1.0,0.0,0.0
37,5,1.0,1.562121212121212,0.08571428571428572,20.240000000000002,5.3396502258189065,1.0,0.0,0.0
38,5,0.6,1.1978787878787878,0.06666666666666667,22.839999999999996,4.673454560005639,1.0,0.0,0.0
39,5,0.8,1.2745454545454546,0.0761904761904762,10.900000000000002,2.9788971596563782,1.0,0.0,0.0
40,5,0.6,0.9563636363636363,0.06666666666666667,17.7,3.4734676931883786,1.0,0.0,0.0
41,5,0.8,1.0406060606060605,0.08571428571428572,13.88,3.8781662437489715,1.0,0.0,0.0
42,5,0.8,1.206060606060606,0.0761904761904762,14.86,2.6047239128110498,0.8,0.0,0.0
43,5,0.6,0.9496969696969696,0.05714285714285714,13.34,4.163618186669111,1.0,0.0,0.0
44,5,1.0,1.7448484848484849,0.06666666666666667,21.1,3.8628227611081662,1.0,0.0,0.0
45,5,0.8,1.5709090909090908,0.0761904761904762,18.66,4.464524597670923,1.0,0.0,0.0
46,5,1.0,1.7921212121212122,0.09523809523809523,18.259999999999998,3.672461665978236,1.0,0.0,0.0
47,5,0.4,1.0981818181818181,0.05714285714285714,8.419999999999998,3.912029895887619,1.0,0.0,0.0
48,5,0.8,1.167878787878788,0.08571428571428572,7.359999999999999,4.264193752521996,1.0,0.0,0.0
49,5,1.0,1.6348484848484852,0.08571428571428572,6.18,3.7934008133907238,1.0,0.0,0.0
50,5,0.8,1.1266666666666665,0.05714285714285714,13.84,2.3230597824507395,1.0,0.0,0.0
51,5,0.4,1.336969696969697,0.05714285714285714,15.180000000000001,3.3013816631922754,1.0,0.0,0.0
52,5,0.8,1.355757575757576,0.05714285714285714,13.859999999999996,3.3739028488008436,1.0,0.0,0.0
53,5,0.6,1.3087878787878788,0.0761904761904762,9.560000000000002,2.651038538291015,1.0,0.0,0.0
54,5,0.8,1.4272727272727272,0.06666666666666667,16.46,4.123392381707805,0.8,0.0,0.0
55,5,0.8,1.0754545454545454,0.05714285714285714,8.86,3.191264801750667,1.0,0.0,0.0
56,5,0.8,1.6054545454545455,0.06666666666666667,24.519999999999996,3.1897507056633696,1.0,0.0,0.0
57,5,0.8,1.1466666666666665,0.0761904761904762,16.56,4.9093015025127755,1.0,0.0,0.0
58,5,0.6,0.9196969696969697,0.06666666666666667,8.02,4.2234728797798855,1.0,0.0,0.0
59,5,1.0,1.3963636363636363,0.06666666666666667,17.700000000000003,4.308879754606857,1.0,0.0,0.0
60,5,0.8,0.7018181818181818,0.06666666666666667,11.040000000000001,3.2519546172891625,1.0,0.0,0.0
61,5,0.8,1.704848484848485,0.05714285714285714,26.660000000000004,5.194524705203847,1.0,0.0,0.0
62,5,0.6,0.8527272727272728,0.06666666666666667,18.419999999999998,4.739623049850278,1.0,0.0,0.0
63,5,1.0,1.0084848484848485,0.0761904761904762,15.959999999999999,4.377403223033683,1.0,0.0,0.0
64,5,0.8,1.0557575757575757,0.06666666666666667,16.96,4.638884623910813,1.0,0.0,0.0
65,5,0.8,1.054848484848485,0.0761904761904762,10.059999999999999,3.672235587871579,1.0,0.0,0.0
66,5,0.6,0.5660606060606062,0.047619047619047616,4.4799999999999995,2.9049729779888875,1.0,0.0,0.0
67,5,0.8,1.1336363636363636,0.05714285714285714,21.72,5.528594594971988,1.0,0.0,0.0
68,5,0.8,1.3684848484848486,0.08571428571428572,19.660000000000004,2.7220555654166847,1.0,0.0,0.0
69,5,1.0,1.0881818181818184,0.0761904761904762,8.8,3.77538959389461,1.0,0.0,0.0
70,5,0.8,1.4972727272727273,0.06666666666666667,21.96,5.794162863079245,0.8,0.0,0.0
