feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,26,31,26,5,0,0.6774193548387096,0.8387096774193549,0.16129032258064516
Fruits,monotonic_up,global,33,35,18,17,0,0.02857142857142857,0.5142857142857142,0.4857142857142857
Veggies,monotonic_up,global,20,20,4,16,0,-0.6,0.2,0.8
AnyHealthcare,monotonic_up,global,33,39,0,39,0,-1.0,0.0,1.0
CholCheck,monotonic_up,global,130,192,0,192,0,-1.0,0.0,1.0
Education,monotonic_up,global,38,41,11,30,0,-0.9024390243902439,0.2682926829268293,0.7317073170731707
Income,monotonic_up,global,59,72,52,20,0,2.3333333333333335,0.7222222222222222,0.2777777777777778
Smoker,monotonic_down,global,22,22,11,11,0,0.0,0.5,0.5
HvyAlcoholConsump,monotonic_down,global,63,74,0,74,0,1.0,0.0,1.0
NoDocbcCost,monotonic_down,global,27,28,5,23,0,0.6428571428571429,0.17857142857142858,0.8214285714285714
HighBP,monotonic_down,global,75,100,100,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,59,78,78,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,global,86,111,105,6,0,-1.990990990990991,0.9459459459459459,0.05405405405405406
MentHlth,monotonic_down,global,54,61,17,44,0,6.213114754098361,0.2786885245901639,0.7213114754098361
PhysHlth,monotonic_down,global,45,48,31,17,0,-7.729166666666667,0.6458333333333334,0.3541666666666667
BMI,bidirectional,global,164,413,413,0,0,-22.165133171912835,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,36,39,39,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,12,14,14,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,7,8,8,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,39,43,43,0,0,1.4651162790697674,1.0,0.0
Income,monotonic_up,per_query,82,101,101,0,0,4.306930693069307,1.0,0.0
Smoker,monotonic_down,per_query,11,14,14,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
HighBP,monotonic_down,per_query,115,177,177,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,87,111,111,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,124,214,214,0,0,-2.121495327102804,1.0,0.0
MentHlth,monotonic_down,per_query,33,41,41,0,0,-8.560975609756097,1.0,0.0
PhysHlth,monotonic_down,per_query,64,77,77,0,0,-12.506493506493506,1.0,0.0
BMI,bidirectional,per_query,195,668,668,0,0,-21.24685628742514,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
