i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,0.4,0.9099999999999999,0.06666666666666667,11.8,3.287526103429741,0.4,0.8,0.0
1,5,1.0,1.2987878787878788,0.06666666666666667,14.440000000000001,3.43850025601532,0.4,0.8,0.0
2,5,0.4,1.5681818181818181,0.06666666666666667,29.820000000000004,7.119444794754652,0.8,0.4,0.0
3,5,0.8,1.7533333333333334,0.08571428571428572,31.859999999999996,5.011108199233205,0.9,0.2,0.0
4,5,1.0,1.5881818181818181,0.0761904761904762,19.3,3.5415384362820483,0.6,0.6,0.0
5,5,0.6,1.3684848484848486,0.06666666666666667,11.1,5.017572487390935,0.5,0.6,0.0
6,5,0.2,0.6733333333333333,0.0380952380952381,5.6,4.992741256311281,0.2,0.6,0.0
7,5,0.8,1.1757575757575756,0.06666666666666667,9.940000000000001,2.794974453602091,0.9,0.2,0.0
8,5,1.0,1.3454545454545452,0.047619047619047616,1.3400000000000005,2.9647718719583818,1.0,0.0,0.0
9,5,0.4,1.274848484848485,0.06666666666666667,19.8,4.253599243386596,0.6,0.4,0.0
10,5,0.4,0.8466666666666667,0.047619047619047616,11.799999999999999,3.363086396122414,0.5,0.2,0.0
11,5,0.8,0.9451515151515151,0.0761904761904762,17.12,4.972359015193313,0.5,0.6,0.0
12,5,1.0,1.6,0.0761904761904762,2.0,2.7619847860860087,0.2,1.2,0.0
13,5,1.0,1.730909090909091,0.08571428571428572,11.18,3.441615376556672,0.3,1.2,0.0
14,5,1.0,1.4642424242424243,0.06666666666666667,13.959999999999999,2.4961817348122612,0.6,0.6,0.0
15,5,1.0,1.896060606060606,0.08571428571428572,27.360000000000003,6.235047260623961,0.9,0.2,0.0
16,5,0.6,1.1990909090909092,0.06666666666666667,11.959999999999999,3.3253328005958087,1.0,0.0,0.0
17,5,1.0,1.356060606060606,0.0761904761904762,11.96,3.119371920796354,0.8,0.4,0.0
18,5,0.8,1.2515151515151515,0.047619047619047616,18.32,2.736163410037649,0.7,0.2,0.0
19,5,0.8,1.2345454545454546,0.05714285714285714,25.02,4.13357078031886,0.5,0.6,0.0
20,5,0.6,1.2181818181818183,0.047619047619047616,16.740000000000002,3.6351880157495855,0.7,0.2,0.0
21,5,0.8,1.425151515151515,0.0761904761904762,13.239999999999998,4.01113796218332,0.9,0.2,0.0
22,5,0.6,1.0042424242424242,0.047619047619047616,18.24,3.7713555753098897,0.7,0.2,0.0
23,5,0.8,0.986060606060606,0.05714285714285714,13.500000000000004,2.884968893252786,0.9,0.2,0.0
24,5,0.6,1.036969696969697,0.06666666666666667,16.72,3.0847215100223346,0.4,0.8,0.0
25,5,1.0,1.803636363636364,0.08571428571428572,11.919999999999998,4.319178172676502,0.4,1.0,0.0
26,5,1.0,1.3924242424242426,0.0761904761904762,17.0,3.211888714619914,0.7,0.6,0.0
27,5,0.8,1.4969696969696968,0.06666666666666667,20.839999999999996,3.3703202707614364,0.9,0.2,0.0
28,5,0.6,0.8387878787878786,0.06666666666666667,21.82,5.323004899138369,1.0,0.0,0.0
29,5,1.0,1.2612121212121212,0.0761904761904762,17.04,2.729098578170976,0.5,0.8,0.0
30,5,1.0,1.5133333333333332,0.0761904761904762,18.880000000000003,5.5721371568214675,0.6,0.6,0.0
31,5,0.6,0.946060606060606,0.05714285714285714,20.1,3.951983851515416,1.0,0.0,0.0
32,5,0.4,0.6666666666666666,0.0380952380952381,5.0,5.431090404052507,0.1,0.6,0.0
33,5,1.0,2.256666666666667,0.0761904761904762,34.6,8.53003601646228,0.5,0.6,0.0
34,5,0.8,1.5787878787878786,0.0761904761904762,15.279999999999998,3.594351519809392,0.5,0.8,0.0
35,5,0.8,0.9109090909090909,0.05714285714285714,10.42,5.0390544243328135,0.7,0.4,0.0
36,5,0.8,1.0466666666666666,0.0761904761904762,15.38,3.2850860102088344,0.7,0.4,0.0
37,5,0.8,0.8745454545454546,0.047619047619047616,10.6,6.06532044588379,0.3,0.6,0.0
38,5,1.0,1.010909090909091,0.05714285714285714,8.4,3.342534823016703,0.6,0.4,0.0
39,5,1.0,1.6539393939393938,0.08571428571428572,25.6,3.6818726359928733,0.7,0.6,0.0
40,5,0.8,0.8127272727272729,0.05714285714285714,8.319999999999999,3.102898846597677,1.0,0.0,0.0
41,5,0.6,1.0545454545454545,0.05714285714285714,3.2,3.885399483342509,0.3,0.8,0.0
42,5,0.8,1.1315151515151516,0.0761904761904762,15.52,3.6584714723034915,0.8,0.4,0.0
43,5,0.8,1.1242424242424243,0.05714285714285714,12.540000000000001,3.7413432951442713,0.8,0.2,0.0
44,5,1.0,0.8924242424242423,0.0761904761904762,13.559999999999999,4.702076766565916,0.9,0.2,0.0
45,5,1.0,1.2472727272727273,0.05714285714285714,23.8,2.9729835033595737,0.4,0.6,0.0
46,5,0.6,0.9151515151515153,0.05714285714285714,20.7,4.695362761988188,0.9,0.2,0.0
47,5,0.8,0.866969696969697,0.05714285714285714,12.440000000000001,3.5787806576822536,0.6,0.2,0.0
48,5,0.4,1.1800000000000002,0.06666666666666667,12.0,4.816486516633779,0.3,0.8,0.0
49,5,0.6,1.355757575757576,0.05714285714285714,25.6,8.687233942390849,0.4,0.6,0.0
50,5,0.6,1.35,0.0761904761904762,3.6,3.1340933624842044,0.7,0.6,0.0
51,5,0.8,0.9433333333333334,0.05714285714285714,10.64,2.736398937848101,0.8,0.4,0.0
52,5,0.8,1.1663636363636365,0.06666666666666667,9.84,5.9848232721834105,0.7,0.4,0.0
53,5,0.4,0.4763636363636364,0.0380952380952381,10.059999999999999,3.437526442478409,0.4,0.4,0.0
54,5,0.8,1.1327272727272728,0.06666666666666667,8.059999999999999,3.8630974583077466,0.9,0.2,0.0
55,5,0.8,1.6018181818181816,0.09523809523809523,11.120000000000001,5.429661130632818,0.6,0.8,0.0
56,5,0.6,1.0727272727272728,0.0380952380952381,15.900000000000002,2.301072356515256,0.6,0.0,0.0
57,5,0.6,1.7793939393939393,0.0761904761904762,17.74,4.7522715082458,0.7,0.4,0.0
58,5,0.6,1.7606060606060605,0.08571428571428572,19.2,5.009719870959733,0.4,1.0,0.0
59,5,0.6,1.3351515151515152,0.06666666666666667,17.36,5.911826700968548,0.9,0.2,0.0
60,5,0.8,0.8766666666666666,0.05714285714285714,9.3,4.801004355422147,0.7,0.2,0.0
61,5,0.8,1.1924242424242424,0.0761904761904762,13.0,3.7715211607441157,0.9,0.2,0.0
62,5,0.6,2.3060606060606057,0.08571428571428572,26.26,4.7823385098462055,0.7,0.6,0.0
63,5,1.0,0.8787878787878787,0.05714285714285714,5.639999999999999,3.2287668301710664,0.9,0.2,0.0
64,5,1.0,1.1193939393939394,0.05714285714285714,11.74,3.4502470897936117,0.7,0.4,0.0
65,5,0.8,1.4293939393939392,0.0761904761904762,4.9799999999999995,2.748333667031865,0.9,0.2,0.0
66,5,0.6,1.0763636363636364,0.05714285714285714,20.560000000000002,6.69176793071866,0.3,0.8,0.0
67,5,0.8,1.7490909090909093,0.08571428571428572,24.24,4.157108797193607,0.5,0.8,0.0
68,5,0.8,1.1406060606060606,0.05714285714285714,6.24,4.140887310679726,0.1,1.0,0.0
69,5,0.8,0.883939393939394,0.047619047619047616,8.72,2.873647997345359,0.4,0.6,0.0
70,5,0.8,1.4557575757575758,0.06666666666666667,14.219999999999999,4.375027483331169,0.6,0.4,0.0
71,5,1.0,1.9103030303030302,0.08571428571428572,10.660000000000002,2.7410479792834086,0.7,0.6,0.0
72,5,1.0,1.623030303030303,0.05714285714285714,20.36,3.773823216555308,0.5,0.6,0.0
73,5,1.0,1.2133333333333334,0.06666666666666667,7.88,4.080027991441559,0.8,0.4,0.0
74,5,0.4,1.189090909090909,0.047619047619047616,23.32,10.118173379517277,0.2,0.8,0.0
75,5,1.0,1.523636363636364,0.05714285714285714,4.620000000000002,4.068385348930236,0.9,0.2,0.0
76,5,0.6,1.6909090909090907,0.06666666666666667,11.940000000000001,2.923307300415954,1.0,0.0,0.0
77,5,0.8,1.2478787878787876,0.06666666666666667,25.160000000000004,4.530125978409927,0.5,0.8,0.0
78,5,1.0,1.5163636363636361,0.0761904761904762,10.36,3.5349655017106456,0.6,0.8,0.0
79,5,1.0,1.4466666666666665,0.08571428571428572,10.8,4.021464548546735,0.5,1.0,0.0
80,5,0.8,1.9745454545454546,0.08571428571428572,11.060000000000002,3.979549095845351,0.7,0.6,0.0
81,5,0.8,1.738787878787879,0.0761904761904762,22.240000000000002,6.316014386702585,0.6,0.6,0.0
82,5,0.8,1.3854545454545455,0.0761904761904762,8.72,3.1626450482021666,0.9,0.2,0.0
83,5,0.4,1.473939393939394,0.06666666666666667,11.040000000000001,3.4196614643026817,0.6,0.6,0.0
84,5,1.0,1.5345454545454547,0.06666666666666667,10.84,4.019847688583858,0.8,0.4,0.0
85,5,1.0,1.303939393939394,0.0761904761904762,11.1,3.303717438941585,0.9,0.2,0.0
86,5,0.8,1.1099999999999999,0.0761904761904762,5.4,3.4232822233271274,0.4,1.0,0.0
87,5,0.8,1.2512121212121214,0.0761904761904762,8.540000000000001,3.3160646113702192,0.8,0.4,0.0
88,5,0.8,0.7784848484848484,0.05714285714285714,9.9,2.6692512781243405,0.9,0.2,0.0
89,5,0.6,0.9393939393939394,0.047619047619047616,15.9,4.437139068432558,0.5,0.4,0.0
90,5,0.4,0.8363636363636363,0.047619047619047616,7.640000000000001,3.5433455727730183,0.5,0.4,0.0
91,5,0.8,1.3245454545454547,0.08571428571428572,12.84,4.471726321073135,0.3,1.4,0.0
92,5,0.8,1.2142424242424243,0.08571428571428572,23.619999999999997,4.620226884273517,0.8,0.4,0.0
93,5,0.4,1.4848484848484849,0.047619047619047616,24.339999999999996,6.858157412987483,0.8,0.0,0.0
94,5,0.6,1.1472727272727272,0.0761904761904762,8.440000000000001,3.516014976260949,0.7,0.6,0.0
95,5,0.6,1.1363636363636362,0.05714285714285714,10.0,3.6686834591084274,0.5,0.6,0.0
96,5,0.8,1.5551515151515152,0.08571428571428572,9.08,5.222195051135188,0.5,1.0,0.0
97,5,0.4,1.246060606060606,0.06666666666666667,8.42,4.356453404593423,0.5,0.6,0.0
98,5,0.8,1.5512121212121213,0.08571428571428572,21.74,4.284522177851078,0.7,0.6,0.0
99,5,0.6,0.8,0.0380952380952381,2.2,8.433567714352073,0.8,0.0,0.0
100,5,0.8,1.3066666666666666,0.05714285714285714,14.76,3.7929500719338813,0.7,0.4,0.0
101,5,1.0,2.2715151515151515,0.0761904761904762,3.780000000000001,2.896157443315967,0.8,0.4,0.0
