feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,20,21,14,7,0,0.3333333333333333,0.6666666666666666,0.3333333333333333
Fruits,monotonic_up,global,26,28,10,18,0,-0.2857142857142857,0.35714285714285715,0.6428571428571429
Veggies,monotonic_up,global,26,28,13,15,0,-0.07142857142857142,0.4642857142857143,0.5357142857142857
AnyHealthcare,monotonic_up,global,47,50,0,50,0,-1.0,0.0,1.0
CholCheck,monotonic_up,global,96,136,0,136,0,-1.0,0.0,1.0
Education,monotonic_up,global,36,38,7,31,0,-1.6842105263157894,0.18421052631578946,0.8157894736842105
Income,monotonic_up,global,58,72,60,12,0,3.5416666666666665,0.8333333333333334,0.16666666666666666
Smoker,monotonic_down,global,15,17,6,11,0,0.29411764705882354,0.35294117647058826,0.6470588235294118
HvyAlcoholConsump,monotonic_down,global,77,94,0,94,0,1.0,0.0,1.0
NoDocbcCost,monotonic_down,global,11,11,0,11,0,1.0,0.0,1.0
HighBP,monotonic_down,global,77,100,100,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,60,69,68,1,0,-0.9710144927536232,0.9855072463768116,0.014492753623188406
GenHlth,monotonic_down,global,95,141,132,9,0,-2.0,0.9361702127659575,0.06382978723404255
MentHlth,monotonic_down,global,49,54,23,31,0,0.12962962962962962,0.42592592592592593,0.5740740740740741
PhysHlth,monotonic_down,global,43,45,36,9,0,-10.044444444444444,0.8,0.2
BMI,bidirectional,global,184,507,507,0,0,-21.72583826429981,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,26,30,30,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,12,13,13,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,7,7,7,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,36,42,42,0,0,1.5476190476190477,1.0,0.0
Income,monotonic_up,per_query,95,128,128,0,0,4.546875,1.0,0.0
Smoker,monotonic_down,per_query,5,5,5,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,5,5,5,0,0,-1.0,1.0,0.0
HighBP,monotonic_down,per_query,95,139,139,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,79,107,107,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,128,218,218,0,0,-2.31651376146789,1.0,0.0
MentHlth,monotonic_down,per_query,34,43,43,0,0,-12.186046511627907,1.0,0.0
PhysHlth,monotonic_down,per_query,59,78,78,0,0,-15.73076923076923,1.0,0.0
BMI,bidirectional,per_query,196,705,705,0,0,-21.268510638297883,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
