i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,0.8,1.138787878787879,0.0761904761904762,5.96,2.502254353726183,1.0,0.0,0.0
1,5,0.8,1.2957575757575757,0.08571428571428572,12.059999999999999,3.33171819276199,1.0,0.0,0.0
2,5,0.8,1.1681818181818182,0.06666666666666667,13.080000000000002,2.2330044191131284,1.0,0.0,0.0
3,5,0.6,1.1284848484848484,0.06666666666666667,22.119999999999997,7.050049410327102,1.0,0.0,0.0
4,5,0.6,1.1184848484848484,0.06666666666666667,23.88,3.7712764266398864,1.0,0.0,0.0
5,5,1.0,0.9151515151515153,0.06666666666666667,9.84,2.9486865234575266,1.0,0.0,0.0
6,5,0.8,1.2836363636363637,0.05714285714285714,18.580000000000002,2.795120041733677,1.0,0.0,0.0
7,5,0.8,0.9554545454545454,0.0761904761904762,11.26,3.334825515552292,1.0,0.0,0.0
8,5,0.6,1.8703030303030304,0.0761904761904762,13.280000000000001,3.2378753429829965,1.0,0.0,0.0
9,5,0.6,1.236060606060606,0.0761904761904762,13.76,4.317869595772896,1.0,0.0,0.0
10,5,1.0,1.7200000000000002,0.0761904761904762,6.8,3.3376538950448658,1.0,0.0,0.0
11,5,0.8,1.6696969696969695,0.08571428571428572,15.020000000000001,2.9647608215535195,1.0,0.0,0.0
12,5,0.6,1.2245454545454546,0.0761904761904762,15.520000000000001,2.7581816283953877,1.0,0.0,0.0
13,5,1.0,1.2830303030303032,0.06666666666666667,13.600000000000003,4.576059567061359,1.0,0.0,0.0
14,5,1.0,1.7127272727272724,0.08571428571428572,22.580000000000002,2.9459647447066493,1.0,0.0,0.0
15,5,0.8,1.1127272727272728,0.06666666666666667,13.38,3.362993142134446,1.0,0.0,0.0
16,5,0.8,0.8248484848484848,0.05714285714285714,18.44,5.301826265686878,1.0,0.0,0.0
17,5,1.0,1.0578787878787879,0.06666666666666667,2.6199999999999997,2.231573215451885,1.0,0.0,0.0
18,5,0.4,0.9184848484848486,0.05714285714285714,11.3,5.526400010446329,1.0,0.0,0.0
19,5,0.8,1.3536363636363635,0.08571428571428572,33.6,4.699994589573568,1.0,0.0,0.0
20,5,0.2,0.61,0.0380952380952381,6.0,5.7799724294303525,0.8,0.0,0.0
21,5,1.0,2.701212121212121,0.06666666666666667,43.17999999999999,6.774780586369125,1.0,0.0,0.0
22,5,0.8,1.1415151515151516,0.06666666666666667,13.819999999999999,3.468667557677486,1.0,0.0,0.0
23,5,1.0,1.0827272727272728,0.0761904761904762,18.060000000000002,4.56275320853323,1.0,0.0,0.0
24,5,0.4,1.0721212121212123,0.0761904761904762,21.12,3.0519677548788997,1.0,0.0,0.0
25,5,0.4,0.9612121212121213,0.06666666666666667,21.28,5.461228897857333,1.0,0.0,0.0
26,5,0.8,1.2175757575757575,0.0761904761904762,18.560000000000002,3.619080447774545,1.0,0.0,0.0
27,5,0.8,1.06,0.06666666666666667,11.92,3.19273230073008,1.0,0.0,0.0
28,5,0.8,0.9,0.0761904761904762,6.94,3.054790718270169,1.0,0.0,0.0
29,5,0.8,1.4727272727272727,0.08571428571428572,11.84,3.7806794451705548,1.0,0.0,0.0
30,5,1.0,1.2651515151515151,0.08571428571428572,9.64,3.098601943281047,1.0,0.0,0.0
31,5,1.0,1.365757575757576,0.0761904761904762,18.240000000000002,3.5883057336980815,1.0,0.0,0.0
32,5,1.0,1.3351515151515152,0.08571428571428572,18.16,4.489178805333127,1.0,0.0,0.0
33,5,1.0,1.22,0.0761904761904762,15.719999999999999,3.2149387335613864,1.0,0.0,0.0
34,5,1.0,1.0793939393939394,0.0761904761904762,8.82,4.253252143790647,1.0,0.0,0.0
35,5,1.0,1.0996969696969696,0.0761904761904762,12.26,3.3815994527782633,1.0,0.0,0.0
36,5,0.4,0.8721212121212121,0.06666666666666667,7.76,4.729956623634606,1.0,0.0,0.0
37,5,0.6,1.0533333333333335,0.047619047619047616,15.040000000000001,8.287623314265787,0.8,0.0,0.0
38,5,0.4,0.8236363636363636,0.05714285714285714,4.840000000000001,3.0757323753083434,0.8,0.0,0.0
39,5,1.0,1.281818181818182,0.0761904761904762,11.139999999999999,3.129555177403259,1.0,0.0,0.0
40,5,1.0,1.5142424242424242,0.08571428571428572,20.940000000000005,5.595430198096798,1.0,0.0,0.0
41,5,0.8,0.946060606060606,0.06666666666666667,15.419999999999998,2.932186398324902,1.0,0.0,0.0
42,5,0.8,1.1575757575757577,0.08571428571428572,18.06,3.8636165334587877,1.0,0.0,0.0
43,5,0.8,1.0636363636363637,0.06666666666666667,16.900000000000002,5.0724061740741675,1.0,0.0,0.0
44,5,1.0,1.5869696969696971,0.0761904761904762,14.280000000000001,2.346005280078576,1.0,0.0,0.0
45,5,0.8,1.6272727272727274,0.06666666666666667,20.559999999999995,5.426497558854895,1.0,0.0,0.0
46,5,0.8,1.2524242424242424,0.08571428571428572,21.28,5.274042774758222,1.0,0.0,0.0
47,5,1.0,2.3393939393939394,0.09523809523809523,23.04,3.528780559111256,1.0,0.0,0.0
48,5,0.4,0.7675757575757576,0.05714285714285714,16.419999999999998,5.0535667924837755,1.0,0.0,0.0
