i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,0.8,1.2006060606060607,0.06666666666666667,13.26,2.922163227996137,0.3,0.8,0.0
1,5,0.6,1.309090909090909,0.06666666666666667,10.319999999999999,3.3701431230115815,0.6,0.4,0.0
2,5,0.8,1.0545454545454545,0.05714285714285714,20.86,2.5371052088336654,0.6,0.4,0.0
3,5,0.4,0.8748484848484848,0.0380952380952381,12.72,6.6753441040320975,0.6,0.0,0.0
4,5,0.6,1.0745454545454547,0.06666666666666667,12.02,3.478179039452657,0.6,0.4,0.0
5,5,1.0,1.1139393939393938,0.0761904761904762,10.4,3.307093176356876,0.5,1.0,0.0
6,5,1.0,1.5809090909090908,0.05714285714285714,21.28,2.835992211317588,0.7,0.4,0.0
7,5,1.0,1.388787878787879,0.06666666666666667,14.52,3.858961787451461,0.7,0.4,0.0
8,5,0.8,1.4872727272727273,0.0761904761904762,24.12,4.1216068907724965,0.7,0.6,0.0
9,5,1.0,1.655151515151515,0.08571428571428572,12.16,3.850298088529089,0.7,0.6,0.0
10,5,0.6,1.1242424242424243,0.05714285714285714,11.84,3.980861837156843,0.5,0.6,0.0
11,5,1.0,1.4512121212121212,0.0761904761904762,15.62,3.1244207623396085,0.9,0.2,0.0
12,5,0.6,1.46,0.0761904761904762,3.4,3.0462915848859313,0.1,1.4,0.0
13,5,0.8,1.183030303030303,0.05714285714285714,19.56,4.399245424221312,0.5,0.6,0.0
14,5,1.0,1.583939393939394,0.0761904761904762,18.44,3.2769747098242332,0.7,0.6,0.0
15,5,1.0,1.3699999999999999,0.06666666666666667,13.5,3.0724673625766226,0.8,0.2,0.0
16,5,0.6,1.26,0.06666666666666667,8.559999999999999,5.557093355905007,0.5,0.8,0.0
17,5,0.6,1.0703030303030303,0.05714285714285714,21.040000000000003,2.958988230439454,0.4,0.6,0.0
18,5,0.8,1.0866666666666667,0.06666666666666667,6.8,5.890979796760615,0.6,0.8,0.0
19,5,0.8,1.1733333333333333,0.08571428571428572,8.2,5.098321364403211,0.8,0.4,0.0
20,5,0.8,1.0521212121212122,0.06666666666666667,15.6,5.758935123577197,1.0,0.0,0.0
21,5,0.6,0.97,0.05714285714285714,3.2,11.771200302142669,0.4,0.6,0.0
22,5,0.8,1.4054545454545455,0.0761904761904762,8.32,3.532916596432496,0.4,1.2,0.0
23,5,0.8,1.2266666666666666,0.06666666666666667,7.719999999999999,4.944044818748683,0.6,0.6,0.0
24,5,0.6,1.2581818181818183,0.0761904761904762,17.36,3.136790733575156,0.7,0.6,0.0
25,5,0.8,1.2463636363636366,0.06666666666666667,11.919999999999998,5.901409884827071,0.5,0.6,0.0
26,5,0.8,1.4,0.0761904761904762,6.9799999999999995,3.21754737255295,0.4,1.0,0.0
27,5,0.8,0.7175757575757575,0.06666666666666667,12.620000000000001,3.316302165225289,1.0,0.0,0.0
