feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,19,21,15,6,0,0.42857142857142855,0.7142857142857143,0.2857142857142857
Fruits,monotonic_up,global,21,22,10,12,0,-0.09090909090909091,0.45454545454545453,0.5454545454545454
Veggies,monotonic_up,global,19,20,4,16,0,-0.6,0.2,0.8
AnyHealthcare,monotonic_up,global,35,40,0,40,0,-1.0,0.0,1.0
CholCheck,monotonic_up,global,98,138,0,138,0,-1.0,0.0,1.0
Education,monotonic_up,global,37,41,11,30,0,-1.3902439024390243,0.2682926829268293,0.7317073170731707
Income,monotonic_up,global,59,67,42,25,0,2.1343283582089554,0.6268656716417911,0.373134328358209
Smoker,monotonic_down,global,21,23,11,12,0,0.043478260869565216,0.4782608695652174,0.5217391304347826
HvyAlcoholConsump,monotonic_down,global,75,98,0,98,0,1.0,0.0,1.0
NoDocbcCost,monotonic_down,global,15,16,3,13,0,0.625,0.1875,0.8125
HighBP,monotonic_down,global,67,86,86,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,48,51,49,2,0,-0.9215686274509803,0.9607843137254902,0.0392156862745098
GenHlth,monotonic_down,global,88,127,124,3,0,-2.078740157480315,0.9763779527559056,0.023622047244094488
MentHlth,monotonic_down,global,50,55,18,37,0,5.490909090909091,0.32727272727272727,0.6727272727272727
PhysHlth,monotonic_down,global,49,53,41,12,0,-9.18867924528302,0.7735849056603774,0.22641509433962265
BMI,bidirectional,global,178,510,510,0,0,-21.40568627450979,1.0,0.0
DiffWalk,monotonic_down,global,33,35,33,2,0,-0.8857142857142857,0.9428571428571428,0.05714285714285714
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,27,31,31,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,13,14,14,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,5,6,6,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,1,1,1,0,0,1.0,1.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,34,38,38,0,0,1.368421052631579,1.0,0.0
Income,monotonic_up,per_query,96,138,138,0,0,4.768115942028985,1.0,0.0
Smoker,monotonic_down,per_query,15,15,15,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,2,2,2,0,0,-1.0,1.0,0.0
HighBP,monotonic_down,per_query,93,125,125,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,63,81,81,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,119,199,199,0,0,-2.3819095477386933,1.0,0.0
MentHlth,monotonic_down,per_query,33,35,35,0,0,-9.057142857142857,1.0,0.0
PhysHlth,monotonic_down,per_query,53,73,73,0,0,-16.52054794520548,1.0,0.0
BMI,bidirectional,per_query,196,695,695,0,0,-21.19841726618705,1.0,0.0
DiffWalk,monotonic_down,per_query,36,40,40,0,0,-1.0,1.0,0.0
