feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,99,137,80,57,0,0.1678832116788321,0.583941605839416,0.41605839416058393
Fruits,monotonic_up,global,89,122,57,65,0,-0.06557377049180328,0.4672131147540984,0.5327868852459017
Veggies,monotonic_up,global,71,117,90,27,0,0.5384615384615384,0.7692307692307693,0.23076923076923078
AnyHealthcare,monotonic_up,global,8,10,3,7,0,-0.4,0.3,0.7
CholCheck,monotonic_up,global,8,8,0,8,0,-1.0,0.0,1.0
Education,monotonic_up,global,191,497,233,264,0,-0.052313883299798795,0.4688128772635815,0.5311871227364185
Income,monotonic_up,global,198,705,451,254,0,0.7106382978723405,0.6397163120567376,0.36028368794326243
Smoker,monotonic_down,global,86,108,56,52,0,-0.037037037037037035,0.5185185185185185,0.48148148148148145
HvyAlcoholConsump,monotonic_down,global,24,30,3,27,0,0.8,0.1,0.9
NoDocbcCost,monotonic_down,global,33,78,63,15,0,-0.6153846153846154,0.8076923076923077,0.19230769230769232
HighBP,monotonic_down,global,149,282,281,1,0,-0.9929078014184397,0.9964539007092199,0.0035460992907801418
HighChol,monotonic_down,global,152,322,320,2,0,-0.9875776397515528,0.9937888198757764,0.006211180124223602
GenHlth,monotonic_down,global,191,607,562,45,0,-1.2355848434925865,0.9258649093904449,0.07413509060955518
MentHlth,monotonic_down,global,108,289,159,130,0,-0.8131487889273357,0.5501730103806228,0.44982698961937717
PhysHlth,monotonic_down,global,85,255,131,124,0,-0.592156862745098,0.5137254901960784,0.48627450980392156
BMI,bidirectional,global,200,912,912,0,0,-19.712719298245617,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,33,36,36,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,25,32,32,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,28,44,44,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,1,2,2,0,0,1.0,1.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,67,140,140,0,0,1.3571428571428572,1.0,0.0
Income,monotonic_up,per_query,144,308,308,0,0,2.1233766233766236,1.0,0.0
Smoker,monotonic_down,per_query,35,42,42,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,1,3,3,0,0,-1.0,1.0,0.0
NoDocbcCost,monotonic_down,per_query,18,41,41,0,0,-1.0,1.0,0.0
HighBP,monotonic_down,per_query,131,266,266,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,129,238,238,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,158,466,466,0,0,-1.388412017167382,1.0,0.0
MentHlth,monotonic_down,per_query,65,122,122,0,0,-2.8360655737704916,1.0,0.0
PhysHlth,monotonic_down,per_query,59,107,107,0,0,-4.233644859813084,1.0,0.0
BMI,bidirectional,per_query,200,917,917,0,0,-20.123555070883306,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
