feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,6,7,5,2,0,0.42857142857142855,0.7142857142857143,0.2857142857142857
Fruits,monotonic_up,global,6,6,1,5,0,-0.6666666666666666,0.16666666666666666,0.8333333333333334
Veggies,monotonic_up,global,7,8,5,3,0,0.25,0.625,0.375
AnyHealthcare,monotonic_up,global,1,1,0,1,0,-1.0,0.0,1.0
CholCheck,monotonic_up,global,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,global,8,9,2,7,0,-1.0,0.2222222222222222,0.7777777777777778
Income,monotonic_up,global,10,11,6,5,0,0.45454545454545453,0.5454545454545454,0.45454545454545453
Smoker,monotonic_down,global,6,6,2,4,0,0.3333333333333333,0.3333333333333333,0.6666666666666666
HvyAlcoholConsump,monotonic_down,global,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,global,5,6,4,2,0,-0.3333333333333333,0.6666666666666666,0.3333333333333333
HighBP,monotonic_down,global,5,5,5,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,5,6,5,1,0,-0.6666666666666666,0.8333333333333334,0.16666666666666666
GenHlth,monotonic_down,global,6,7,7,0,0,-1.2857142857142858,1.0,0.0
MentHlth,monotonic_down,global,2,2,0,2,0,3.0,0.0,1.0
PhysHlth,monotonic_down,global,5,5,3,2,0,-0.6,0.6,0.4
BMI,bidirectional,global,10,12,12,0,0,-1.0833333333333333,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Fruits,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Veggies,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
AnyHealthcare,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Income,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Smoker,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
HighBP,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
HighChol,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
GenHlth,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
MentHlth,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysHlth,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
BMI,bidirectional,per_query,0,0,0,0,0,0.0,0.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
