i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,3,0.3333333333333333,1.0666666666666667,0.06349206349206349,18.0,3.156142038151798,1.0,0.0,0.0
1,3,0.3333333333333333,0.7702020202020202,0.06349206349206349,11.466666666666667,3.0702106607628563,0.8333333333333334,0.3333333333333333,0.0
2,3,1.0,2.169191919191919,0.06349206349206349,30.46666666666667,5.934848552576183,0.8333333333333334,0.3333333333333333,0.0
3,3,0.6666666666666666,1.3181818181818181,0.07936507936507937,14.066666666666668,4.92054188544427,0.6666666666666666,0.6666666666666666,0.0
4,3,1.0,2.233333333333334,0.09523809523809523,4.066666666666667,2.914353500440121,0.8333333333333334,0.3333333333333333,0.0
5,3,1.0,1.7393939393939393,0.07936507936507937,19.266666666666666,4.948819911386679,0.6666666666666666,0.3333333333333333,0.0
6,3,0.6666666666666666,1.3661616161616161,0.07936507936507937,18.0,5.172312911924943,0.8333333333333334,0.3333333333333333,0.0
7,3,1.0,1.2116161616161616,0.07936507936507937,24.46666666666667,3.57876400317755,1.0,0.0,0.0
8,3,1.0,1.9999999999999998,0.09523809523809523,11.66666666666667,3.054540220337768,0.6666666666666666,0.6666666666666666,0.0
9,3,0.6666666666666666,1.3333333333333333,0.06349206349206349,2.0,4.075827148981781,0.0,1.3333333333333333,0.0
10,3,1.0,1.5838383838383836,0.07936507936507937,4.266666666666668,3.0485234015315346,1.0,0.0,0.0
11,3,1.0,1.2868686868686867,0.07936507936507937,10.6,4.88645034365573,1.0,0.0,0.0
12,3,1.0,1.1494949494949493,0.07936507936507937,9.6,2.5445663503277958,1.0,0.0,0.0
13,3,1.0,1.4323232323232322,0.09523809523809523,30.266666666666666,4.662201967225351,0.8333333333333334,0.3333333333333333,0.0
14,3,1.0,1.7868686868686872,0.09523809523809523,15.6,2.2607597956337475,0.5,1.0,0.0
15,3,0.3333333333333333,0.3666666666666667,0.031746031746031744,3.3333333333333335,7.113397129795467,0.3333333333333333,0.0,0.0
16,3,0.6666666666666666,0.956060606060606,0.06349206349206349,8.799999999999999,3.0308956485383614,0.8333333333333334,0.3333333333333333,0.0
17,3,0.3333333333333333,1.0454545454545454,0.06349206349206349,14.733333333333334,3.1689725816523575,0.6666666666666666,0.3333333333333333,0.0
18,3,1.0,1.7393939393939395,0.07936507936507937,15.4,3.1606064530272504,0.3333333333333333,1.0,0.0
19,3,1.0,1.25,0.06349206349206349,4.0,3.844569950222605,0.8333333333333334,0.3333333333333333,0.0
20,3,1.0,1.7565656565656564,0.09523809523809523,23.266666666666666,4.438164097471682,0.6666666666666666,0.6666666666666666,0.0
21,3,1.0,1.0646464646464646,0.047619047619047616,2.400000000000001,3.8684843016479196,1.0,0.0,0.0
22,3,0.6666666666666666,1.2343434343434343,0.047619047619047616,18.866666666666667,3.7601254994980566,0.6666666666666666,0.3333333333333333,0.0
23,3,1.0,0.7737373737373737,0.047619047619047616,8.266666666666666,2.686414690846575,0.6666666666666666,0.3333333333333333,0.0
