i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,3,0.6666666666666666,1.248989898989899,0.07936507936507937,11.533333333333333,2.8096555517270176,1.0,0.0,0.0
1,3,0.6666666666666666,0.9272727272727274,0.06349206349206349,26.53333333333333,3.785365910519934,1.0,0.0,0.0
2,3,1.0,2.01010101010101,0.09523809523809523,43.86666666666667,7.473721952579475,1.0,0.0,0.0
3,3,1.0,1.9666666666666668,0.07936507936507937,21.599999999999998,4.831161441761943,1.0,0.0,0.0
4,3,0.0,0.9171717171717172,0.047619047619047616,9.6,3.0613627447512948,1.0,0.0,0.0
5,3,1.0,1.4555555555555557,0.06349206349206349,1.0,4.671213912488771,1.0,0.0,0.0
6,3,0.6666666666666666,1.0833333333333333,0.07936507936507937,8.0,5.0683938909904125,1.0,0.0,0.0
7,3,0.6666666666666666,0.8666666666666667,0.07936507936507937,2.6666666666666665,2.7417754514716686,1.0,0.0,0.0
8,3,0.6666666666666666,1.2777777777777777,0.06349206349206349,27.0,3.823590023090132,1.0,0.0,0.0
9,3,0.6666666666666666,0.75,0.06349206349206349,1.3333333333333333,4.029139521712089,1.0,0.0,0.0
10,3,1.0,1.2383838383838384,0.07936507936507937,3.4666666666666686,2.8329977133870043,1.0,0.0,0.0
11,3,0.0,0.3898989898989899,0.047619047619047616,6.933333333333333,4.622116080088491,1.0,0.0,0.0
12,3,1.0,1.3191919191919192,0.09523809523809523,12.6,2.603301658082545,1.0,0.0,0.0
13,3,0.6666666666666666,1.207070707070707,0.07936507936507937,14.133333333333333,3.300438312788294,1.0,0.0,0.0
14,3,0.6666666666666666,0.8989898989898989,0.047619047619047616,4.666666666666667,2.0062962978623213,1.0,0.0,0.0
15,3,1.0,1.8909090909090907,0.09523809523809523,36.93333333333333,6.40483709933627,1.0,0.0,0.0
16,3,0.3333333333333333,0.712121212121212,0.047619047619047616,31.2,3.390854973902121,1.0,0.0,0.0
17,3,1.0,0.834848484848485,0.06349206349206349,13.666666666666666,2.948511980842417,1.0,0.0,0.0
18,3,1.0,2.0191919191919196,0.07936507936507937,6.533333333333331,2.2515172433624473,1.0,0.0,0.0
19,3,1.0,1.6136363636363635,0.07936507936507937,16.0,3.701257051745785,1.0,0.0,0.0
20,3,0.3333333333333333,0.8383838383838383,0.031746031746031744,17.333333333333332,3.8505580145086045,0.6666666666666666,0.0,0.0
21,3,0.6666666666666666,0.7560606060606062,0.047619047619047616,12.533333333333333,3.89158736679617,0.6666666666666666,0.0,0.0
22,3,1.0,1.4363636363636363,0.07936507936507937,9.666666666666666,3.4147535106851152,1.0,0.0,0.0
23,3,1.0,1.2303030303030305,0.07936507936507937,7.666666666666669,2.6523161267787922,1.0,0.0,0.0
24,3,0.6666666666666666,0.6419191919191919,0.047619047619047616,14.266666666666666,2.5270775508151693,1.0,0.0,0.0
25,3,0.6666666666666666,1.5464646464646465,0.07936507936507937,18.666666666666668,4.099895337111366,1.0,0.0,0.0
26,3,1.0,1.222222222222222,0.07936507936507937,15.733333333333334,3.2407573880017,1.0,0.0,0.0
27,3,1.0,1.2404040404040402,0.07936507936507937,16.133333333333333,3.9798605728504284,1.0,0.0,0.0
28,3,1.0,1.3484848484848486,0.07936507936507937,24.2,5.090886841921256,1.0,0.0,0.0
29,3,0.3333333333333333,0.6727272727272728,0.06349206349206349,11.666666666666666,2.231527493024526,1.0,0.0,0.0
