i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,0.6,1.3627272727272728,0.06666666666666667,15.34,3.0250059511482603,1.0,0.0,0.0
1,5,0.6,0.8530303030303031,0.0761904761904762,4.279999999999999,3.3101915472333476,1.0,0.0,0.0
2,5,0.8,1.8215151515151518,0.0761904761904762,24.18,4.385794349685575,1.0,0.0,0.0
3,5,0.8,1.0760606060606062,0.06666666666666667,23.840000000000003,5.775404503508458,1.0,0.0,0.0
4,5,1.0,1.0466666666666666,0.06666666666666667,16.0,5.825048862849397,1.0,0.0,0.0
5,5,1.0,1.221818181818182,0.06666666666666667,19.32,8.558748155035115,1.0,0.0,0.0
6,5,0.8,1.7360606060606059,0.08571428571428572,29.439999999999998,4.485757229613982,1.0,0.0,0.0
7,5,1.0,1.4454545454545453,0.0761904761904762,13.14,2.7888672262246774,1.0,0.0,0.0
8,5,1.0,1.8242424242424242,0.06666666666666667,4.3,3.63785563415785,1.0,0.0,0.0
9,5,0.6,1.1315151515151514,0.047619047619047616,23.64,4.576107780299031,1.0,0.0,0.0
10,5,1.0,0.7254545454545454,0.06666666666666667,11.6,3.1089120773767775,1.0,0.0,0.0
11,5,0.8,1.100909090909091,0.05714285714285714,19.52,3.1965012122988763,0.8,0.0,0.0
12,5,1.0,1.273939393939394,0.08571428571428572,15.280000000000001,3.014500898334072,1.0,0.0,0.0
13,5,0.8,1.5269696969696969,0.08571428571428572,6.12,3.21006452379985,1.0,0.0,0.0
14,5,0.8,1.6548484848484848,0.09523809523809523,24.980000000000004,3.6291891804827676,1.0,0.0,0.0
15,5,0.8,0.9863636363636363,0.05714285714285714,2.8,3.0527366754355008,1.0,0.0,0.0
16,5,0.4,1.6145454545454545,0.047619047619047616,21.099999999999998,3.2904164452372044,0.8,0.0,0.0
17,5,1.0,1.163030303030303,0.08571428571428572,19.46,3.410976646700081,1.0,0.0,0.0
18,5,1.0,1.35,0.06666666666666667,2.8,3.428389318893679,1.0,0.0,0.0
19,5,1.0,1.3966666666666667,0.0761904761904762,18.16,3.5482471658162478,1.0,0.0,0.0
20,5,1.0,1.2736363636363637,0.08571428571428572,6.100000000000001,2.23070831964801,1.0,0.0,0.0
21,5,0.8,1.123030303030303,0.05714285714285714,15.280000000000001,3.8708038458208147,0.8,0.0,0.0
22,5,1.0,1.1199999999999999,0.06666666666666667,5.56,2.5802133922013764,1.0,0.0,0.0
23,5,0.6,1.15,0.05714285714285714,2.6,3.2985152417913723,1.0,0.0,0.0
24,5,0.6,0.8072727272727274,0.05714285714285714,12.120000000000001,4.59655372947597,1.0,0.0,0.0
25,5,0.4,0.7433333333333333,0.06666666666666667,14.0,4.411110750646216,1.0,0.0,0.0
26,5,0.8,1.4606060606060607,0.0761904761904762,16.68,3.013202588463312,1.0,0.0,0.0
27,5,1.0,1.0842424242424245,0.05714285714285714,4.8999999999999995,3.429467182722191,1.0,0.0,0.0
28,5,0.8,1.1227272727272726,0.06666666666666667,17.96,3.164193561764547,0.8,0.0,0.0
29,5,0.8,1.3866666666666667,0.0761904761904762,12.46,3.293071543783656,1.0,0.0,0.0
30,5,0.8,1.1006060606060608,0.06666666666666667,15.319999999999999,3.6835852404114675,1.0,0.0,0.0
31,5,1.0,1.6063636363636362,0.0761904761904762,17.38,4.398882255151443,1.0,0.0,0.0
32,5,0.8,0.8136363636363637,0.047619047619047616,7.480000000000001,5.104781651834173,0.8,0.0,0.0
33,5,0.6,0.97,0.05714285714285714,2.6,6.572450816128967,0.8,0.0,0.0
34,5,0.8,1.1900000000000002,0.06666666666666667,17.2,3.059912786559923,1.0,0.0,0.0
35,5,0.8,0.7112121212121212,0.06666666666666667,12.32,2.917082008225467,0.8,0.0,0.0
36,5,0.6,0.8830303030303032,0.06666666666666667,8.819999999999999,4.345757106780528,1.0,0.0,0.0
37,5,0.8,1.3315151515151515,0.0761904761904762,11.48,4.739293529496986,1.0,0.0,0.0
38,5,0.8,1.3354545454545454,0.06666666666666667,20.06,2.792695948407308,1.0,0.0,0.0
39,5,1.0,1.3224242424242425,0.08571428571428572,8.88,3.420553403210299,1.0,0.0,0.0
40,5,0.8,1.7236363636363639,0.06666666666666667,17.36,3.2918012153410356,1.0,0.0,0.0
41,5,0.6,0.7909090909090908,0.05714285714285714,23.38,4.470338039356665,0.8,0.0,0.0
42,5,0.4,0.6348484848484849,0.05714285714285714,8.32,5.090458743979728,1.0,0.0,0.0
43,5,1.0,1.5472727272727274,0.06666666666666667,20.659999999999997,3.125889186304872,1.0,0.0,0.0
44,5,0.4,0.6739393939393941,0.05714285714285714,9.120000000000001,4.381374005449101,1.0,0.0,0.0
45,5,0.8,1.0318181818181817,0.06666666666666667,8.3,2.8219671867696006,1.0,0.0,0.0
