i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,0.2,0.396969696969697,0.0380952380952381,14.959999999999999,3.027747161351043,0.6,0.0,0.0
1,5,0.6,1.0096969696969698,0.05714285714285714,8.139999999999999,3.0952905358502614,0.8,0.2,0.0
2,5,1.0,1.8721212121212123,0.0761904761904762,30.54,7.247198905624767,0.6,0.8,0.0
3,5,0.8,1.269090909090909,0.05714285714285714,20.2,4.720169783814401,0.6,0.4,0.0
4,5,1.0,1.728181818181818,0.0761904761904762,12.84,3.0902246904404227,0.9,0.2,0.0
5,5,0.6,1.1236363636363635,0.047619047619047616,14.080000000000002,5.070024742759311,0.3,0.6,0.0
6,5,0.8,1.4066666666666667,0.0761904761904762,28.6,5.1270699303087115,0.6,0.6,0.0
7,5,0.8,1.1703030303030304,0.0761904761904762,21.96,3.3285251885370863,0.9,0.2,0.0
8,5,1.0,1.4024242424242424,0.06666666666666667,11.06,2.991718666807814,0.7,0.6,0.0
9,5,0.4,1.1636363636363636,0.047619047619047616,15.440000000000001,3.4389612845890967,0.7,0.2,0.0
10,5,1.0,1.4927272727272727,0.08571428571428572,25.1,3.6219892266851463,0.8,0.4,0.0
11,5,0.6,1.358181818181818,0.0761904761904762,17.939999999999998,4.753970341463475,0.5,0.8,0.0
12,5,1.0,1.4763636363636363,0.0761904761904762,17.96,3.0448607661635188,0.5,0.8,0.0
13,5,0.8,0.9733333333333333,0.05714285714285714,11.74,3.4005906783245563,0.6,0.4,0.0
14,5,1.0,1.6945454545454546,0.08571428571428572,19.380000000000003,2.613350414773091,0.7,0.6,0.0
15,5,1.0,1.5006060606060605,0.0761904761904762,14.36,6.843714769925162,0.6,0.8,0.0
16,5,0.8,0.9199999999999999,0.05714285714285714,13.580000000000002,3.2242024550604214,0.5,0.6,0.0
17,5,0.8,0.96,0.06666666666666667,10.2,3.5058129821537904,0.5,0.6,0.0
18,5,1.0,1.832121212121212,0.06666666666666667,29.880000000000003,3.163697481330684,0.6,0.6,0.0
19,5,0.8,1.2503030303030305,0.06666666666666667,11.680000000000001,3.5312402651262036,0.8,0.2,0.0
20,5,0.8,1.6315151515151516,0.06666666666666667,18.240000000000002,3.9527464244323403,0.6,0.6,0.0
21,5,1.0,1.016969696969697,0.047619047619047616,13.7,4.219474323251609,1.0,0.0,0.0
22,5,1.0,1.417878787878788,0.0761904761904762,16.300000000000004,3.7295330882852866,0.6,0.6,0.0
23,5,0.8,1.1615151515151516,0.0761904761904762,11.379999999999999,2.9538456921014613,0.7,0.6,0.0
24,5,0.6,0.9833333333333332,0.06666666666666667,13.8,3.2079718559411528,0.6,0.4,0.0
25,5,0.8,1.0824242424242425,0.047619047619047616,10.72,4.479044720752196,0.4,0.6,0.0
26,5,0.8,1.0606060606060606,0.05714285714285714,14.74,3.011599393766604,0.8,0.4,0.0
27,5,0.8,1.446060606060606,0.06666666666666667,16.04,3.1701694653880477,0.5,0.6,0.0
28,5,1.0,1.155151515151515,0.06666666666666667,6.639999999999999,5.7536086485102125,0.9,0.2,0.0
29,5,1.0,1.103030303030303,0.06666666666666667,18.2,2.74826768683742,0.8,0.4,0.0
