i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,1.0,1.6630303030303033,0.08571428571428572,9.64,4.375176610919834,0.6,0.8,0.0
1,5,1.0,2.581515151515151,0.06666666666666667,19.82,5.588425348820911,0.9,0.2,0.0
2,5,0.8,1.7406060606060607,0.0761904761904762,14.320000000000002,2.7011739635390786,0.8,0.4,0.0
3,5,0.8,1.5157575757575759,0.0761904761904762,16.64,3.769861377805506,0.9,0.2,0.0
4,5,0.4,1.2896969696969696,0.06666666666666667,14.559999999999999,4.6263271754632695,0.5,0.6,0.0
5,5,1.0,1.2642424242424242,0.06666666666666667,10.9,3.488457388626599,0.8,0.4,0.0
6,5,0.8,1.2151515151515153,0.05714285714285714,16.82,4.262974116826501,0.8,0.0,0.0
7,5,0.8,1.5115151515151515,0.05714285714285714,19.26,6.900008387318778,0.5,0.6,0.0
8,5,0.6,1.5081818181818183,0.0761904761904762,18.44,3.8547226230828593,0.9,0.2,0.0
9,5,0.8,1.059090909090909,0.06666666666666667,24.139999999999997,3.350730021635628,0.9,0.2,0.0
10,5,0.8,1.3460606060606062,0.0761904761904762,20.62,4.203297907238315,0.5,0.8,0.0
11,5,1.0,1.5836363636363637,0.09523809523809523,25.640000000000004,5.742280440613629,0.5,1.0,0.0
12,5,0.8,1.5642424242424242,0.08571428571428572,10.879999999999999,3.068320553240951,0.7,0.6,0.0
13,5,1.0,1.028181818181818,0.06666666666666667,11.400000000000002,3.744784448163453,0.8,0.4,0.0
14,5,0.4,0.7527272727272727,0.047619047619047616,14.6,4.759007066329632,0.8,0.0,0.0
15,5,0.8,1.56,0.0761904761904762,7.4799999999999995,4.541393655937735,0.6,0.8,0.0
16,5,1.0,1.7527272727272727,0.0761904761904762,21.44,3.8868860636237157,0.8,0.4,0.0
17,5,0.8,1.3599999999999999,0.06666666666666667,3.4,6.461248619570149,0.3,1.0,0.0
18,5,0.8,1.6448484848484846,0.05714285714285714,20.939999999999998,4.483620381946652,0.8,0.2,0.0
19,5,0.8,1.357878787878788,0.06666666666666667,19.580000000000002,3.5695615596260764,0.7,0.4,0.0
20,5,0.6,1.173939393939394,0.05714285714285714,21.28,4.974690684110785,0.7,0.4,0.0
21,5,0.8,1.3618181818181818,0.06666666666666667,18.16,2.9116134433542027,0.9,0.2,0.0
22,5,0.8,1.7975757575757576,0.08571428571428572,12.5,3.5903981558905285,0.7,0.6,0.0
23,5,0.8,1.0533333333333332,0.05714285714285714,4.0,4.483621083874588,0.7,0.2,0.0
24,5,1.0,1.7415151515151515,0.08571428571428572,17.06,3.2199092619727288,0.8,0.4,0.0
25,5,0.4,1.2887878787878788,0.0761904761904762,15.220000000000002,4.613950459714759,0.7,0.4,0.0
26,5,0.6,0.9190909090909092,0.05714285714285714,9.919999999999998,3.3492460571968876,0.8,0.0,0.0
