i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,0.8,1.4630303030303031,0.08571428571428572,4.639999999999999,4.048204891919065,1.0,0.0,0.0
1,5,0.8,2.5566666666666666,0.0761904761904762,36.059999999999995,5.525723889621006,1.0,0.0,0.0
2,5,0.8,1.3518181818181818,0.05714285714285714,25.060000000000002,3.0933882073252597,1.0,0.0,0.0
3,5,0.6,1.5509090909090908,0.0761904761904762,16.419999999999998,3.252080340617233,1.0,0.0,0.0
4,5,0.4,1.0024242424242424,0.05714285714285714,26.839999999999996,4.942902315225927,0.8,0.0,0.0
5,5,1.0,1.5484848484848484,0.0761904761904762,24.659999999999997,3.9005108339276915,1.0,0.0,0.0
6,5,0.8,1.476363636363636,0.06666666666666667,18.619999999999997,4.36193430431297,1.0,0.0,0.0
7,5,0.8,1.8800000000000001,0.05714285714285714,3.6,5.738981340520468,1.0,0.0,0.0
8,5,1.0,1.5381818181818183,0.08571428571428572,7.040000000000001,3.2088884704580054,1.0,0.0,0.0
9,5,0.6,0.9369696969696969,0.0761904761904762,14.799999999999997,3.03956621581111,1.0,0.0,0.0
10,5,1.0,1.4945454545454548,0.0761904761904762,5.94,3.96674417572307,1.0,0.0,0.0
11,5,0.4,1.2818181818181817,0.06666666666666667,18.04,5.3583417829869555,1.0,0.0,0.0
12,5,0.4,1.0490909090909093,0.06666666666666667,6.92,2.9048339618410073,1.0,0.0,0.0
13,5,1.0,1.4245454545454546,0.08571428571428572,22.82,3.8875373751303024,1.0,0.0,0.0
14,5,0.8,1.2527272727272727,0.06666666666666667,15.220000000000002,4.746158639725113,1.0,0.0,0.0
15,5,0.4,0.7248484848484849,0.05714285714285714,11.42,4.674038253348507,1.0,0.0,0.0
16,5,0.8,1.5806060606060606,0.06666666666666667,3.7,3.66675649095774,1.0,0.0,0.0
17,5,0.6,1.5833333333333335,0.08571428571428572,8.1,5.143358811256643,1.0,0.0,0.0
18,5,0.8,1.9527272727272726,0.06666666666666667,18.919999999999998,4.24993292013342,1.0,0.0,0.0
19,5,1.0,1.523939393939394,0.06666666666666667,24.68,3.744301702541452,1.0,0.0,0.0
20,5,1.0,2.805151515151515,0.09523809523809523,23.64,3.4733256694656407,1.0,0.0,0.0
21,5,0.8,1.8675757575757577,0.0761904761904762,19.040000000000003,3.052657640018937,1.0,0.0,0.0
22,5,0.8,1.2157575757575758,0.05714285714285714,15.86,3.868471629496758,0.8,0.0,0.0
23,5,0.8,1.3890909090909092,0.0761904761904762,12.28,4.029848502168592,1.0,0.0,0.0
24,5,1.0,1.6109090909090908,0.06666666666666667,8.499999999999998,2.825395554259419,1.0,0.0,0.0
25,5,0.4,1.207878787878788,0.06666666666666667,16.22,4.510848373016603,1.0,0.0,0.0
26,5,0.8,1.196060606060606,0.06666666666666667,10.64,3.5972271073377997,1.0,0.0,0.0
27,5,1.0,2.4660606060606063,0.06666666666666667,8.6,3.289297106954274,1.0,0.0,0.0
28,5,1.0,1.6057575757575755,0.0761904761904762,7.26,2.7521733275019575,1.0,0.0,0.0
29,5,0.8,1.56,0.0761904761904762,6.6,6.159204165915764,1.0,0.0,0.0
30,5,1.0,2.002121212121212,0.0761904761904762,11.68,2.986753466000987,1.0,0.0,0.0
31,5,0.6,1.7996969696969696,0.08571428571428572,12.820000000000002,4.132766108613456,1.0,0.0,0.0
32,5,0.8,1.6518181818181816,0.08571428571428572,21.5,6.955848830647177,1.0,0.0,0.0
33,5,1.0,1.2557575757575759,0.0761904761904762,14.14,2.9196273288572656,1.0,0.0,0.0
34,5,0.8,2.1515151515151514,0.06666666666666667,18.52,3.6133678946795063,1.0,0.0,0.0
35,5,1.0,1.833939393939394,0.06666666666666667,6.140000000000001,4.18193667680725,1.0,0.0,0.0
36,5,1.0,2.913333333333333,0.08571428571428572,12.7,3.1467915566331515,1.0,0.0,0.0
