i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,0.6,1.5163636363636364,0.05714285714285714,14.3,5.132622905144493,1.0,0.0,0.0
1,5,0.8,1.9690909090909092,0.06666666666666667,5.82,4.173378759760199,1.0,0.0,0.0
2,5,0.8,1.7115151515151517,0.08571428571428572,10.86,6.366071101094816,0.8,0.4,0.0
3,5,1.0,2.184242424242424,0.06666666666666667,20.7,4.6311178040987215,0.8,0.4,0.0
4,5,0.2,1.3696969696969696,0.0761904761904762,22.48,3.2555680105945357,0.7,0.4,0.0
5,5,1.0,1.3845454545454545,0.06666666666666667,9.86,3.214779958063196,0.9,0.2,0.0
6,5,1.0,1.6690909090909092,0.05714285714285714,16.72,3.337037236262723,0.8,0.4,0.0
7,5,0.6,1.0903030303030303,0.047619047619047616,26.96,5.07164505436834,0.6,0.4,0.0
8,5,0.8,2.3209090909090913,0.08571428571428572,33.2,3.9579566383918063,0.8,0.4,0.0
9,5,0.8,1.350909090909091,0.06666666666666667,10.440000000000001,4.337161912826821,0.9,0.2,0.0
10,5,1.0,2.1563636363636363,0.0761904761904762,34.34,6.410640611245679,0.8,0.4,0.0
11,5,0.8,2.248787878787879,0.0761904761904762,15.940000000000003,3.448812185014239,1.0,0.0,0.0
12,5,1.0,1.354848484848485,0.06666666666666667,6.34,2.997539163763885,1.0,0.0,0.0
13,5,0.4,1.9012121212121211,0.06666666666666667,37.120000000000005,4.596206805085232,1.0,0.0,0.0
14,5,0.8,2.2478787878787876,0.0761904761904762,19.799999999999997,5.368852788032243,0.9,0.2,0.0
15,5,1.0,2.081212121212121,0.06666666666666667,4.999999999999998,3.068496847531657,0.9,0.2,0.0
16,5,0.8,2.3236363636363637,0.06666666666666667,20.380000000000003,3.4870631398794427,0.9,0.2,0.0
17,5,0.8,1.5684848484848484,0.0761904761904762,30.98,5.270179113814817,0.5,0.6,0.0
18,5,0.8,2.248484848484849,0.0761904761904762,16.919999999999998,3.1239627446969944,0.8,0.4,0.0
19,5,1.0,2.543636363636364,0.0761904761904762,4.860000000000001,3.9047270787630297,0.9,0.2,0.0
