feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,2,2,2,0,0,1.0,1.0,0.0
Fruits,monotonic_up,global,2,2,1,1,0,0.0,0.5,0.5
Veggies,monotonic_up,global,1,1,0,1,0,-1.0,0.0,1.0
AnyHealthcare,monotonic_up,global,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,global,5,7,0,7,0,-1.0,0.0,1.0
Education,monotonic_up,global,0,0,0,0,0,0.0,0.0,0.0
Income,monotonic_up,global,0,0,0,0,0,0.0,0.0,0.0
Smoker,monotonic_down,global,1,1,1,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,global,6,10,0,10,0,1.0,0.0,1.0
NoDocbcCost,monotonic_down,global,2,2,0,2,0,1.0,0.0,1.0
HighBP,monotonic_down,global,10,13,13,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,6,7,7,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,global,6,8,8,0,0,-2.5,1.0,0.0
MentHlth,monotonic_down,global,9,11,8,3,0,-4.7272727272727275,0.7272727272727273,0.2727272727272727
PhysHlth,monotonic_down,global,5,7,6,1,0,-11.428571428571429,0.8571428571428571,0.14285714285714285
BMI,bidirectional,global,20,76,76,0,0,-27.863157894736847,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,4,4,4,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,3,3,3,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,2,2,2,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Income,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Smoker,monotonic_down,per_query,1,1,1,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
HighBP,monotonic_down,per_query,9,14,14,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,8,12,12,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,9,12,12,0,0,-2.4166666666666665,1.0,0.0
MentHlth,monotonic_down,per_query,4,5,5,0,0,-14.4,1.0,0.0
PhysHlth,monotonic_down,per_query,10,12,12,0,0,-18.166666666666668,1.0,0.0
BMI,bidirectional,per_query,20,91,91,0,0,-27.629670329670336,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
