i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,1.0,1.8018181818181815,0.0761904761904762,10.32,5.066774895650097,1.0,0.0,0.0
1,5,0.8,2.2618181818181813,0.0761904761904762,8.260000000000002,4.1062501426487055,1.0,0.0,0.0
2,5,0.8,1.7333333333333336,0.08571428571428572,3.8,6.07908244832331,1.0,0.0,0.0
3,5,1.0,2.3696969696969696,0.06666666666666667,8.0,3.8443610039516254,1.0,0.0,0.0
4,5,0.4,1.20969696969697,0.06666666666666667,2.8,2.8146210516174137,1.0,0.0,0.0
5,5,0.8,1.2596969696969695,0.06666666666666667,17.86,3.2214272636602828,1.0,0.0,0.0
6,5,1.0,2.070606060606061,0.0761904761904762,4.8199999999999985,2.7888504778040692,1.0,0.0,0.0
7,5,1.0,2.436969696969697,0.08571428571428572,39.2,4.745084048691873,1.0,0.0,0.0
8,5,0.6,2.79030303030303,0.0761904761904762,6.26,2.565073624360346,1.0,0.0,0.0
9,5,1.0,1.5872727272727274,0.0761904761904762,23.500000000000004,4.106709257879876,1.0,0.0,0.0
10,5,0.8,2.3466666666666667,0.08571428571428572,24.22,5.056415036947578,1.0,0.0,0.0
11,5,0.4,1.8651515151515148,0.05714285714285714,27.28,3.762180023906834,1.0,0.0,0.0
12,5,0.6,1.267878787878788,0.05714285714285714,11.54,3.248265269397946,1.0,0.0,0.0
13,5,1.0,2.6012121212121215,0.08571428571428572,23.12,3.883495863530975,1.0,0.0,0.0
14,5,0.8,1.9775757575757578,0.0761904761904762,18.16,5.564757999669347,1.0,0.0,0.0
15,5,1.0,2.128484848484849,0.047619047619047616,6.4399999999999995,3.5622180888795056,1.0,0.0,0.0
16,5,1.0,2.683939393939394,0.08571428571428572,9.84,3.017752613603959,1.0,0.0,0.0
17,5,1.0,2.1878787878787875,0.08571428571428572,14.1,3.8759192271598777,1.0,0.0,0.0
18,5,0.8,2.1693939393939394,0.0761904761904762,33.14,3.884334667548408,1.0,0.0,0.0
19,5,0.8,2.31030303030303,0.0761904761904762,13.299999999999997,3.6002465226923532,1.0,0.0,0.0
