i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
0,5,1.0,0.6306060606060606,0.05714285714285714,6.24,2.942548786062367,1.0,0.0,0.0
1,5,0.8,1.155151515151515,0.0761904761904762,21.22,3.4184150743970174,1.0,0.0,0.0
2,5,1.0,1.4896969696969697,0.08571428571428572,31.999999999999993,7.385589133530099,1.0,0.0,0.0
3,5,1.0,0.9833333333333334,0.06666666666666667,13.120000000000001,4.144903930694438,1.0,0.0,0.0
4,5,0.4,1.435151515151515,0.05714285714285714,16.0,2.970630360104692,0.8,0.0,0.0
5,5,0.4,1.636060606060606,0.08571428571428572,14.739999999999998,4.50567666625231,1.0,0.0,0.0
6,5,0.4,1.3024242424242423,0.06666666666666667,25.96,5.022211133074572,1.0,0.0,0.0
7,5,0.4,0.8987878787878788,0.047619047619047616,8.719999999999999,2.971609521891828,0.8,0.0,0.0
8,5,1.0,1.5260606060606061,0.0761904761904762,15.680000000000001,3.5066369166013325,1.0,0.0,0.0
9,5,1.0,1.3306060606060606,0.0761904761904762,19.380000000000003,3.473455804263762,1.0,0.0,0.0
10,5,0.8,1.0775757575757576,0.06666666666666667,4.8,2.978053932898868,1.0,0.0,0.0
11,5,0.6,0.7630303030303031,0.06666666666666667,16.4,4.850858729167281,1.0,0.0,0.0
12,5,1.0,1.4739393939393939,0.08571428571428572,5.42,2.539672069631809,1.0,0.0,0.0
13,5,1.0,1.2442424242424241,0.06666666666666667,23.0,3.400383439927532,1.0,0.0,0.0
14,5,1.0,1.2439393939393941,0.0761904761904762,11.040000000000001,2.222272064930578,1.0,0.0,0.0
15,5,1.0,1.8324242424242425,0.0761904761904762,29.68,6.116572842075042,1.0,0.0,0.0
16,5,0.6,0.736969696969697,0.05714285714285714,19.2,3.9955827562921336,1.0,0.0,0.0
17,5,0.8,1.1436363636363638,0.0761904761904762,12.180000000000001,2.955122572802703,1.0,0.0,0.0
18,5,1.0,2.1775757575757577,0.0761904761904762,7.9,2.3498574177116356,1.0,0.0,0.0
19,5,1.0,1.1927272727272729,0.0761904761904762,13.84,3.4653273211186213,1.0,0.0,0.0
20,5,1.0,1.753939393939394,0.0761904761904762,16.34,3.3029550624059594,1.0,0.0,0.0
21,5,0.6,1.1603030303030304,0.05714285714285714,13.24,4.0595363973520895,0.8,0.0,0.0
22,5,0.8,1.3587878787878789,0.047619047619047616,6.220000000000001,3.5709228337707604,1.0,0.0,0.0
23,5,1.0,1.434242424242424,0.08571428571428572,10.020000000000001,3.0448058202041657,1.0,0.0,0.0
24,5,0.8,1.3487878787878789,0.08571428571428572,15.179999999999998,2.507458340327639,1.0,0.0,0.0
25,5,0.6,1.2651515151515151,0.0761904761904762,17.880000000000003,5.012856701286278,1.0,0.0,0.0
26,5,0.8,1.2803030303030303,0.05714285714285714,12.86,2.74910118525124,1.0,0.0,0.0
27,5,1.0,1.230909090909091,0.0761904761904762,16.58,3.498355668657375,1.0,0.0,0.0
28,5,1.0,0.9036363636363636,0.0761904761904762,4.88,5.624038603411716,1.0,0.0,0.0
29,5,0.8,1.2857575757575757,0.0761904761904762,12.680000000000001,2.3409007026628825,1.0,0.0,0.0
30,5,0.6,1.070909090909091,0.06666666666666667,16.119999999999997,5.696205388443171,0.8,0.0,0.0
31,5,0.6,1.0836363636363637,0.06666666666666667,24.36,4.672661143222994,1.0,0.0,0.0
32,5,0.8,0.8263636363636364,0.05714285714285714,16.900000000000002,5.7518901494902765,1.0,0.0,0.0
33,5,1.0,2.429090909090909,0.08571428571428572,45.0,8.428575891003373,1.0,0.0,0.0
34,5,0.8,0.9100000000000001,0.05714285714285714,8.139999999999999,3.270491745111189,1.0,0.0,0.0
35,5,0.8,0.5512121212121213,0.047619047619047616,4.84,4.805613069474087,1.0,0.0,0.0
36,5,0.8,1.460909090909091,0.08571428571428572,17.080000000000002,3.1218785610060484,1.0,0.0,0.0
37,5,0.8,1.4863636363636363,0.08571428571428572,20.92,5.939902707773969,1.0,0.0,0.0
38,5,0.8,0.9354545454545455,0.0761904761904762,8.18,3.2336007102478,1.0,0.0,0.0
39,5,1.0,1.180909090909091,0.06666666666666667,11.36,3.940109675276845,1.0,0.0,0.0
40,5,0.6,1.0236363636363637,0.06666666666666667,17.7,3.498472346767374,1.0,0.0,0.0
41,5,1.0,1.316060606060606,0.0761904761904762,10.639999999999999,3.9347325657995187,1.0,0.0,0.0
42,5,1.0,1.0415151515151515,0.0761904761904762,16.0,3.3336404780773012,1.0,0.0,0.0
43,5,0.6,1.0624242424242425,0.05714285714285714,15.440000000000001,4.38291765674595,1.0,0.0,0.0
44,5,0.6,0.9466666666666667,0.05714285714285714,10.2,4.984665790245273,0.8,0.0,0.0
45,5,0.8,1.2769696969696969,0.0761904761904762,12.959999999999999,3.4205274504961247,1.0,0.0,0.0
