i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
0,5,0.6,1.1757575757575758,0.06666666666666667,19.8,3.0140680634295265,0.9,0.2,0.0
1,5,0.4,0.933030303030303,0.06666666666666667,12.1,3.399989859979659,0.9,0.2,0.0
2,5,0.8,1.5715151515151515,0.06666666666666667,33.24,7.47470539266688,0.9,0.2,0.0
3,5,0.6,1.352121212121212,0.0761904761904762,16.699999999999996,4.919410035918413,0.5,0.8,0.0
4,5,1.0,2.0612121212121215,0.08571428571428572,13.040000000000001,3.0142555634517487,0.7,0.6,0.0
5,5,0.8,1.6303030303030301,0.0761904761904762,15.440000000000001,4.901777294296267,0.5,0.6,0.0
6,5,0.8,1.3996969696969699,0.0761904761904762,13.2,5.182933931785501,0.8,0.4,0.0
7,5,0.8,0.916060606060606,0.05714285714285714,17.799999999999997,3.2818704740858773,0.8,0.0,0.0
8,5,1.0,1.9024242424242424,0.09523809523809523,11.760000000000002,3.2721105868821825,0.6,0.8,0.0
9,5,0.6,1.2,0.05714285714285714,2.2,4.0659080097081794,0.2,1.0,0.0
10,5,1.0,1.5466666666666664,0.0761904761904762,4.0200000000000005,3.140281961388403,0.9,0.2,0.0
11,5,0.8,1.038181818181818,0.06666666666666667,10.1,4.896870918591805,1.0,0.0,0.0
12,5,0.8,1.2096969696969695,0.0761904761904762,10.059999999999999,2.7041086074413583,0.6,0.6,0.0
13,5,0.6,0.8593939393939394,0.05714285714285714,19.22,4.1917182982351475,0.5,0.2,0.0
14,5,0.8,1.7521212121212124,0.09523809523809523,17.62,2.6802923953991304,0.4,1.2,0.0
15,5,0.6,0.8884848484848484,0.047619047619047616,22.4,6.602188574418416,0.6,0.0,0.0
16,5,0.8,1.2972727272727274,0.0761904761904762,9.52,3.222107773025295,0.7,0.6,0.0
17,5,0.6,1.1836363636363636,0.06666666666666667,12.219999999999999,3.1415252113077687,0.6,0.4,0.0
18,5,1.0,1.8436363636363637,0.0761904761904762,19.02,3.1010807147341555,0.4,1.0,0.0
19,5,1.0,1.1,0.06666666666666667,9.08,3.6661435056367906,0.9,0.2,0.0
20,5,1.0,1.9957575757575756,0.09523809523809523,20.020000000000003,3.924308346996219,0.6,0.8,0.0
21,5,1.0,1.2424242424242424,0.05714285714285714,3.72,3.8723187986075254,1.0,0.0,0.0
22,5,0.8,1.2354545454545456,0.05714285714285714,16.16,3.7799871275462613,0.6,0.6,0.0
23,5,1.0,1.0433333333333334,0.05714285714285714,10.399999999999997,2.7254237553778893,0.8,0.2,0.0
24,5,0.2,0.6663636363636364,0.05714285714285714,5.919999999999999,2.8024414830318376,0.7,0.4,0.0
25,5,0.4,0.7515151515151516,0.0380952380952381,15.62,4.44531599239121,0.4,0.2,0.0
26,5,0.8,1.2963636363636364,0.05714285714285714,18.18,3.1218912938510504,0.3,0.8,0.0
27,5,1.0,0.8581818181818182,0.05714285714285714,11.02,3.497987683759032,0.8,0.2,0.0
28,5,0.8,1.0666666666666667,0.06666666666666667,17.860000000000003,5.389229735755366,0.6,0.4,0.0
29,5,0.8,1.058787878787879,0.06666666666666667,10.34,2.346341515748104,0.8,0.2,0.0
30,5,0.8,0.9600000000000002,0.06666666666666667,5.2,6.535049741317618,0.8,0.4,0.0
31,5,0.8,1.1733333333333333,0.0761904761904762,19.4,4.7911112306742005,1.0,0.0,0.0
32,5,0.6,1.063939393939394,0.06666666666666667,6.359999999999999,5.557150044734628,0.5,0.6,0.0
33,5,0.4,1.1400000000000001,0.06666666666666667,8.4,12.73416685930971,0.3,1.0,0.0
34,5,1.0,1.0521212121212122,0.06666666666666667,12.02,3.7052707518601213,0.5,0.8,0.0
35,5,0.6,1.0424242424242425,0.06666666666666667,12.040000000000001,5.002963468117452,0.5,0.6,0.0
36,5,0.6,0.7212121212121212,0.0380952380952381,9.120000000000001,2.8495586935646413,0.4,0.4,0.0
37,5,1.0,1.3239393939393937,0.0761904761904762,13.6,5.947964654202925,0.4,1.0,0.0
38,5,1.0,1.1321212121212123,0.0761904761904762,8.3,3.1723324524698833,0.8,0.4,0.0
39,5,0.4,0.8333333333333334,0.047619047619047616,7.2,3.4171857544314905,0.3,0.6,0.0
40,5,1.0,1.5115151515151515,0.08571428571428572,9.94,3.2698480460853627,0.6,0.8,0.0
41,5,0.6,0.806060606060606,0.047619047619047616,6.4799999999999995,3.886256830430324,0.4,0.6,0.0
42,5,1.0,1.2857575757575759,0.06666666666666667,11.819999999999999,3.267253547697935,0.7,0.4,0.0
43,5,1.0,1.6260606060606062,0.06666666666666667,18.06,3.9411388651067676,0.8,0.4,0.0
44,5,0.6,1.1366666666666667,0.06666666666666667,7.4,5.250738977558891,0.4,0.8,0.0
45,5,0.8,1.3048484848484847,0.08571428571428572,16.04,3.029997244698912,0.5,0.8,0.0
46,5,1.0,1.2415151515151517,0.0761904761904762,11.06,4.773519620317025,0.8,0.4,0.0
47,5,1.0,0.9033333333333333,0.05714285714285714,13.559999999999999,3.767206036075607,0.9,0.2,0.0
48,5,0.8,1.313030303030303,0.0761904761904762,4.4799999999999995,4.752346433802773,0.5,0.6,0.0
49,5,0.6,0.9400000000000001,0.06666666666666667,4.6,9.078742247520482,0.5,0.6,0.0
50,5,0.8,1.3800000000000001,0.0761904761904762,8.6,3.178882832053914,0.4,1.0,0.0
51,5,0.6,1.227878787878788,0.0761904761904762,13.5,3.0448369093408356,0.4,0.8,0.0
52,5,0.8,1.6272727272727274,0.0761904761904762,19.3,5.736446681074078,0.5,0.8,0.0
53,5,0.6,0.9696969696969697,0.047619047619047616,10.94,3.07862325282686,0.3,0.6,0.0
54,5,1.0,1.4666666666666668,0.0761904761904762,11.819999999999999,3.924433228602129,0.9,0.2,0.0
55,5,0.8,0.7366666666666666,0.05714285714285714,12.139999999999999,5.3753601239733895,0.7,0.4,0.0
56,5,0.8,1.2872727272727273,0.05714285714285714,16.4,2.507964950665352,0.8,0.2,0.0
57,5,0.6,0.8721212121212121,0.0380952380952381,19.18,5.7124200476517215,0.3,0.4,0.0
58,5,0.4,0.9199999999999999,0.06666666666666667,2.6,5.890249450567283,0.3,0.8,0.0
59,5,0.6,1.6627272727272728,0.05714285714285714,25.1,5.0947148764505865,0.6,0.4,0.0
60,5,1.0,1.6339393939393936,0.08571428571428572,8.64,4.733094910415511,0.6,0.8,0.0
61,5,0.4,0.6193939393939394,0.047619047619047616,8.64,3.7810143963554994,0.8,0.2,0.0
62,5,0.4,1.6381818181818182,0.06666666666666667,22.7,5.174860504646767,0.5,0.6,0.0
63,5,0.8,0.8087878787878788,0.0761904761904762,10.5,3.868001131051376,1.0,0.0,0.0
64,5,0.6,1.2451515151515151,0.06666666666666667,8.84,3.649426133097285,0.3,0.8,0.0
65,5,0.4,1.05,0.06666666666666667,2.2,3.052340828414813,0.9,0.2,0.0
66,5,0.6,1.3078787878787879,0.05714285714285714,20.939999999999998,5.45444623646159,0.4,0.4,0.0
67,5,0.6,0.9006060606060606,0.047619047619047616,13.0,3.563615983322616,0.7,0.2,0.0
68,5,0.8,1.0560606060606061,0.05714285714285714,16.44,4.551584265339703,0.4,0.8,0.0
69,5,0.4,0.9433333333333334,0.05714285714285714,14.0,3.1885232008328486,0.3,0.6,0.0
