i,n_cfs,validity,proximity,sparsity,diversity,plausibility,actionability,wrong_dir_violations,immutable_violations
0,5,0.6,1.2493939393939395,0.0761904761904762,10.2,2.8647001342394014,1.0,0.0,0.0
1,5,0.6,0.901818181818182,0.05714285714285714,31.24,3.7725095625068334,1.0,0.0,0.0
2,5,1.0,1.9806060606060605,0.09523809523809523,40.760000000000005,7.243448444472691,1.0,0.0,0.0
3,5,0.8,1.6745454545454546,0.06666666666666667,19.3,4.756478544712658,1.0,0.0,0.0
4,5,0.4,1.3503030303030303,0.06666666666666667,6.159999999999999,3.181575190406592,1.0,0.0,0.0
5,5,1.0,1.5290909090909093,0.06666666666666667,6.159999999999999,4.571437561663493,1.0,0.0,0.0
6,5,0.6,1.206969696969697,0.0761904761904762,19.48,5.0736198468514155,1.0,0.0,0.0
7,5,0.8,1.0278787878787878,0.08571428571428572,10.08,2.812098004501421,1.0,0.0,0.0
8,5,0.6,1.3654545454545455,0.06666666666666667,25.379999999999995,3.4408488056656035,1.0,0.0,0.0
9,5,0.8,0.8912121212121212,0.06666666666666667,12.4,3.7655055228215617,1.0,0.0,0.0
10,5,0.8,1.1769696969696972,0.0761904761904762,4.24,2.8225588737813716,1.0,0.0,0.0
11,5,0.2,0.42666666666666664,0.0380952380952381,8.839999999999998,4.810121820909963,0.8,0.0,0.0
12,5,1.0,1.4290909090909092,0.09523809523809523,9.94,2.5543430653421053,1.0,0.0,0.0
13,5,0.6,1.3242424242424242,0.0761904761904762,9.28,3.4042396653602163,1.0,0.0,0.0
14,5,0.8,1.3078787878787879,0.06666666666666667,3.8199999999999994,1.9691481915496656,1.0,0.0,0.0
15,5,1.0,2.0248484848484845,0.09523809523809523,42.92,6.3246353888953175,1.0,0.0,0.0
16,5,0.6,0.8896969696969697,0.05714285714285714,22.6,3.307363029691842,1.0,0.0,0.0
17,5,0.8,0.6830303030303031,0.05714285714285714,10.580000000000002,2.9074911212345236,1.0,0.0,0.0
18,5,1.0,1.8200000000000003,0.06666666666666667,4.339999999999999,2.245617085487088,1.0,0.0,0.0
19,5,1.0,1.4618181818181817,0.08571428571428572,13.12,3.800338588871298,1.0,0.0,0.0
20,5,0.6,1.2206060606060607,0.047619047619047616,16.48,3.8061249387300764,0.8,0.0,0.0
21,5,0.6,1.0084848484848485,0.05714285714285714,12.120000000000001,3.9544043457384306,0.8,0.0,0.0
22,5,0.8,1.3224242424242423,0.06666666666666667,14.360000000000003,3.522604784375154,1.0,0.0,0.0
23,5,1.0,1.273939393939394,0.0761904761904762,5.820000000000002,2.6072684239812887,1.0,0.0,0.0
24,5,0.8,0.7451515151515151,0.06666666666666667,12.16,2.5674259961316075,1.0,0.0,0.0
25,5,0.8,1.5775757575757576,0.0761904761904762,12.0,4.0477057886026,1.0,0.0,0.0
26,5,1.0,1.260909090909091,0.08571428571428572,14.700000000000003,3.24566267752701,1.0,0.0,0.0
27,5,1.0,1.2484848484848485,0.06666666666666667,17.160000000000004,3.5763198307895556,1.0,0.0,0.0
28,5,1.0,1.3275757575757576,0.08571428571428572,21.439999999999998,5.106256166928997,1.0,0.0,0.0
29,5,0.4,0.6333333333333334,0.06666666666666667,8.66,2.185509620517232,1.0,0.0,0.0
30,5,0.8,1.3915151515151514,0.0761904761904762,20.72,5.539134316536427,1.0,0.0,0.0
31,5,0.6,0.6118181818181819,0.06666666666666667,15.0,4.719548252292678,1.0,0.0,0.0
32,5,0.8,1.5275757575757576,0.0761904761904762,18.6,5.270134806687387,1.0,0.0,0.0
33,5,1.0,2.843030303030303,0.08571428571428572,42.04,6.467366379975416,1.0,0.0,0.0
34,5,0.6,0.9133333333333333,0.05714285714285714,20.32,3.5977478379794317,1.0,0.0,0.0
35,5,0.8,0.969090909090909,0.0761904761904762,12.040000000000001,5.0445007816741345,1.0,0.0,0.0
36,5,0.6,1.0654545454545454,0.06666666666666667,4.739999999999999,2.834484782340365,1.0,0.0,0.0
37,5,1.0,1.516060606060606,0.09523809523809523,26.240000000000002,5.520247402711896,1.0,0.0,0.0
38,5,0.8,1.1781818181818182,0.0761904761904762,17.66,3.02524807204804,1.0,0.0,0.0
39,5,1.0,1.2687878787878788,0.06666666666666667,19.44,3.5506205297839792,1.0,0.0,0.0
40,5,1.0,1.1751515151515153,0.0761904761904762,19.46,3.453066914638484,1.0,0.0,0.0
41,5,1.0,1.5027272727272727,0.09523809523809523,28.24,4.177990172654522,1.0,0.0,0.0
42,5,0.8,1.2087878787878787,0.08571428571428572,18.2,3.2295872192685775,1.0,0.0,0.0
43,5,1.0,1.7466666666666666,0.0761904761904762,17.759999999999998,3.6940509819166256,1.0,0.0,0.0
44,5,0.2,0.4833333333333333,0.047619047619047616,8.8,5.142200913000773,0.8,0.0,0.0
45,5,0.8,1.3045454545454545,0.0761904761904762,21.96,3.348618290555223,1.0,0.0,0.0
46,5,0.6,1.3221212121212118,0.0761904761904762,12.58,4.43489291764355,1.0,0.0,0.0
47,5,1.0,1.5351515151515152,0.09523809523809523,27.259999999999998,3.6216998361678985,1.0,0.0,0.0
48,5,0.8,1.1309090909090909,0.08571428571428572,6.9399999999999995,4.637010081536576,1.0,0.0,0.0
49,5,1.0,2.652121212121212,0.05714285714285714,7.2,4.562564278848132,1.0,0.0,0.0
50,5,0.2,1.2,0.06666666666666667,2.2,3.0055990156548265,1.0,0.0,0.0
51,5,1.0,1.093030303030303,0.08571428571428572,17.66,3.075037817252239,1.0,0.0,0.0
52,5,0.6,1.3527272727272728,0.05714285714285714,22.1,5.585318674205832,0.8,0.0,0.0
53,5,0.8,1.4703030303030302,0.08571428571428572,14.4,2.848764997203291,1.0,0.0,0.0
54,5,0.8,0.973939393939394,0.05714285714285714,10.900000000000002,3.845284060975453,1.0,0.0,0.0
