i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,1.0,1.1370909090909092,0.08571428571428572,19.32,2.973545466047829,0.9,0.2,0.0
1,5,1.0,1.025030303030303,0.09523809523809523,12.320000000000002,3.394622645877127,0.7,0.6,0.0
2,5,1.0,1.548181818181818,0.06666666666666667,32.9,7.479082981648191,0.9,0.2,0.0
3,5,1.0,1.3241212121212123,0.08571428571428572,16.76,4.9170723943482955,0.5,1.0,0.0
4,5,1.0,1.8972121212121216,0.08571428571428572,12.72,2.9981580182830574,0.7,0.6,0.0
5,5,1.0,1.3703030303030304,0.09523809523809523,14.919999999999998,4.860517724112961,0.5,1.0,0.0
6,5,1.0,1.1556969696969697,0.08571428571428572,12.86,5.197518627033955,0.7,0.6,0.0
7,5,1.0,0.9753939393939394,0.09523809523809523,17.96,3.2757209462581,0.8,0.4,0.0
8,5,1.0,1.7030909090909092,0.09523809523809523,11.48,3.2213638889776535,0.6,0.8,0.0
9,5,1.0,1.3039999999999998,0.08571428571428572,2.44,4.057053566453295,0.2,1.4,0.0
10,5,1.0,1.3066666666666666,0.0761904761904762,3.5400000000000005,3.109805925876952,0.9,0.2,0.0
11,5,1.0,1.0581818181818181,0.09523809523809523,10.02,4.880917724044286,0.8,0.4,0.0
12,5,1.0,1.2216969696969697,0.09523809523809523,10.22,2.700243275648772,0.5,1.0,0.0
13,5,1.0,0.8987272727272726,0.08571428571428572,19.220000000000002,4.2012524254568255,0.7,0.6,0.0
14,5,1.0,1.5107878787878788,0.09523809523809523,17.119999999999997,2.625358987869521,0.4,1.2,0.0
15,5,1.0,0.9228181818181819,0.08571428571428572,22.18,6.549424770832018,0.8,0.2,0.0
16,5,1.0,1.1372727272727272,0.09523809523809523,9.059999999999999,3.1577664919410284,0.7,0.6,0.0
17,5,1.0,1.1609696969696972,0.08571428571428572,11.96,3.1416650855110637,0.6,0.6,0.0
18,5,1.0,1.6036363636363635,0.08571428571428572,18.7,3.047341429325821,0.4,1.2,0.0
19,5,1.0,1.109,0.0761904761904762,9.12,3.638556418464739,0.9,0.2,0.0
20,5,1.0,1.7517575757575756,0.09523809523809523,19.46,3.8656892784278827,0.6,0.8,0.0
21,5,1.0,1.3824242424242423,0.0761904761904762,3.9,3.864188506556319,1.0,0.0,0.0
22,5,1.0,1.3104545454545455,0.09523809523809523,16.32,3.7380396294966083,0.4,1.2,0.0
23,5,1.0,1.1033333333333333,0.06666666666666667,10.52,2.724633559580606,0.8,0.4,0.0
24,5,1.0,0.8513636363636362,0.09523809523809523,6.08,2.7778087176412583,0.5,1.0,0.0
25,5,1.0,1.0335151515151515,0.08571428571428572,16.18,4.438879245934042,0.7,0.6,0.0
26,5,1.0,1.2643636363636364,0.06666666666666667,18.2,3.105794213467996,0.3,1.0,0.0
27,5,1.0,0.8301818181818182,0.06666666666666667,10.9,3.4525455978390966,0.8,0.4,0.0
28,5,1.0,1.0453333333333332,0.08571428571428572,17.700000000000003,5.387281305669314,0.7,0.6,0.0
29,5,1.0,1.1677878787878788,0.09523809523809523,10.360000000000003,2.301522851429967,0.7,0.6,0.0
30,5,1.0,0.9800000000000001,0.09523809523809523,5.06,6.4965289906003125,0.7,0.6,0.0
31,5,1.0,1.0533333333333332,0.08571428571428572,19.160000000000004,4.730769408640456,0.9,0.2,0.0
32,5,1.0,1.038939393939394,0.08571428571428572,6.08,5.532588275427944,0.7,0.6,0.0
33,5,1.0,1.0173333333333332,0.09523809523809523,8.139999999999999,12.72103170133362,0.3,1.4,0.0
34,5,1.0,1.080121212121212,0.08571428571428572,12.179999999999998,3.672207536482651,0.6,0.8,0.0
35,5,1.0,1.0804242424242425,0.0761904761904762,11.8,4.982767811648573,0.6,0.6,0.0
36,5,1.0,1.0212121212121212,0.09523809523809523,9.580000000000002,2.8339146825013075,0.5,1.0,0.0
