query_i,cf_k,changed,levers_pulled,unsupported_targets
3,4,BMI MentHlth,BMI,MentHlth
11,3,BMI MentHlth,BMI,MentHlth
16,1,BMI MentHlth,BMI,MentHlth
19,4,GenHlth Veggies,Veggies,GenHlth
37,2,BMI MentHlth,BMI,MentHlth
48,1,BMI MentHlth,BMI,MentHlth
48,2,BMI MentHlth,BMI,MentHlth
59,2,BMI MentHlth,BMI,MentHlth
70,1,BMI MentHlth,BMI,MentHlth
73,4,BMI MentHlth,BMI,MentHlth
108,2,BMI MentHlth,BMI,MentHlth
118,4,Fruits GenHlth,Fruits,GenHlth
119,1,BMI MentHlth,BMI,MentHlth
119,2,BMI MentHlth,BMI,MentHlth
141,1,BMI MentHlth,BMI,MentHlth
145,1,BMI MentHlth,BMI,MentHlth
158,1,BMI MentHlth,BMI,MentHlth
158,3,BMI MentHlth,BMI,MentHlth
167,4,BMI MentHlth,BMI,MentHlth
182,4,BMI MentHlth,BMI,MentHlth
190,3,BMI MentHlth,BMI,MentHlth
194,3,BMI MentHlth,BMI,MentHlth
196,0,BMI MentHlth,BMI,MentHlth
197,0,BMI MentHlth,BMI,MentHlth
199,3,BMI MentHlth,BMI,MentHlth
