query_i,cf_k,base_proba,cf_pred,valid,n_changes
0,0,0.6947795748710632,0,1,1
0,1,0.6947795748710632,0,1,1
0,2,0.6947795748710632,0,1,1
0,3,0.6947795748710632,0,1,1
0,4,0.6947795748710632,0,1,2
1,0,0.6960932016372681,0,1,2
1,1,0.6960932016372681,0,1,2
1,2,0.6960932016372681,0,1,1
1,3,0.6960932016372681,1,0,1
1,4,0.6960932016372681,0,1,2
2,0,0.6965304613113403,0,1,2
2,1,0.6965304613113403,0,1,2
2,2,0.6965304613113403,0,1,2
2,3,0.6965304613113403,0,1,2
2,4,0.6965304613113403,0,1,1
3,0,0.6969185471534729,0,1,1
3,1,0.6969185471534729,0,1,1
3,2,0.6969185471534729,0,1,2
3,3,0.6969185471534729,0,1,1
3,4,0.6969185471534729,0,1,2
4,0,0.6969596743583679,0,1,2
4,1,0.6969596743583679,1,0,0
4,2,0.6969596743583679,1,0,1
4,3,0.6969596743583679,1,0,1
4,4,0.6969596743583679,0,1,2
5,0,0.6971367001533508,1,0,2
5,1,0.6971367001533508,1,0,2
5,2,0.6971367001533508,0,1,2
5,3,0.6971367001533508,1,0,1
5,4,0.6971367001533508,0,1,2
6,0,0.6971813440322876,0,1,2
6,1,0.6971813440322876,0,1,2
6,2,0.6971813440322876,1,0,1
6,3,0.6971813440322876,1,0,1
6,4,0.6971813440322876,1,0,1
7,0,0.6973664164543152,1,0,1
7,1,0.6973664164543152,1,0,0
7,2,0.6973664164543152,0,1,2
7,3,0.6973664164543152,1,0,1
7,4,0.6973664164543152,0,1,1
8,0,0.6983028650283813,0,1,2
8,1,0.6983028650283813,0,1,2
8,2,0.6983028650283813,0,1,1
8,3,0.6983028650283813,0,1,2
8,4,0.6983028650283813,0,1,1
9,0,0.6985275149345398,0,1,2
9,1,0.6985275149345398,0,1,1
9,2,0.6985275149345398,0,1,2
9,3,0.6985275149345398,0,1,2
9,4,0.6985275149345398,0,1,1
10,0,0.6990185976028442,0,1,2
10,1,0.6990185976028442,1,0,1
10,2,0.6990185976028442,0,1,2
10,3,0.6990185976028442,0,1,1
10,4,0.6990185976028442,0,1,1
11,0,0.699782133102417,1,0,1
11,1,0.699782133102417,1,0,1
11,2,0.699782133102417,0,1,2
11,3,0.699782133102417,0,1,2
11,4,0.699782133102417,0,1,1
12,0,0.7000072002410889,0,1,2
12,1,0.7000072002410889,0,1,2
12,2,0.7000072002410889,0,1,1
12,3,0.7000072002410889,0,1,2
12,4,0.7000072002410889,0,1,2
13,0,0.7003127336502075,0,1,2
13,1,0.7003127336502075,0,1,1
13,2,0.7003127336502075,0,1,1
13,3,0.7003127336502075,0,1,1
13,4,0.7003127336502075,0,1,2
14,0,0.7011145353317261,0,1,2
14,1,0.7011145353317261,0,1,2
14,2,0.7011145353317261,0,1,1
14,3,0.7011145353317261,0,1,1
14,4,0.7011145353317261,0,1,2
15,0,0.7011323571205139,0,1,2
15,1,0.7011323571205139,0,1,1
15,2,0.7011323571205139,0,1,2
15,3,0.7011323571205139,0,1,2
15,4,0.7011323571205139,0,1,1
16,0,0.7012473940849304,1,0,1
16,1,0.7012473940849304,0,1,2
16,2,0.7012473940849304,0,1,1
16,3,0.7012473940849304,0,1,1
16,4,0.7012473940849304,1,0,1
17,0,0.7013535499572754,1,0,2
17,1,0.7013535499572754,0,1,1
17,2,0.7013535499572754,0,1,2
17,3,0.7013535499572754,0,1,2
17,4,0.7013535499572754,0,1,1
18,0,0.7019867300987244,0,1,1
18,1,0.7019867300987244,0,1,2
18,2,0.7019867300987244,0,1,1
18,3,0.7019867300987244,0,1,2
18,4,0.7019867300987244,0,1,2
19,0,0.7024445533752441,0,1,2
19,1,0.7024445533752441,0,1,1
19,2,0.7024445533752441,0,1,2
19,3,0.7024445533752441,0,1,1
19,4,0.7024445533752441,0,1,2
20,0,0.7025970220565796,0,1,1
20,1,0.7025970220565796,0,1,2
20,2,0.7025970220565796,0,1,1
20,3,0.7025970220565796,0,1,2
20,4,0.7025970220565796,0,1,2
21,0,0.7027154564857483,0,1,2
21,1,0.7027154564857483,0,1,1
21,2,0.7027154564857483,0,1,2
21,3,0.7027154564857483,1,0,0
21,4,0.7027154564857483,1,0,1
22,0,0.7028546333312988,0,1,1
22,1,0.7028546333312988,0,1,1
22,2,0.7028546333312988,1,0,1
22,3,0.7028546333312988,0,1,1
22,4,0.7028546333312988,0,1,1
23,0,0.7034325003623962,0,1,2
23,1,0.7034325003623962,0,1,2
23,2,0.7034325003623962,0,1,1
23,3,0.7034325003623962,0,1,2
23,4,0.7034325003623962,0,1,2
24,0,0.7036685347557068,1,0,2
24,1,0.7036685347557068,0,1,2
24,2,0.7036685347557068,0,1,1
24,3,0.7036685347557068,0,1,2
24,4,0.7036685347557068,0,1,2
25,0,0.7037460803985596,1,0,1
25,1,0.7037460803985596,0,1,1
25,2,0.7037460803985596,1,0,2
25,3,0.7037460803985596,0,1,2
25,4,0.7037460803985596,0,1,2
26,0,0.7040901184082031,0,1,2
26,1,0.7040901184082031,0,1,1
26,2,0.7040901184082031,0,1,1
26,3,0.7040901184082031,1,0,1
26,4,0.7040901184082031,0,1,1
27,0,0.7042245864868164,0,1,2
27,1,0.7042245864868164,0,1,2
27,2,0.7042245864868164,0,1,1
27,3,0.7042245864868164,0,1,2
27,4,0.7042245864868164,0,1,1
28,0,0.7062415480613708,0,1,1
28,1,0.7062415480613708,0,1,2
28,2,0.7062415480613708,0,1,2
28,3,0.7062415480613708,0,1,1
28,4,0.7062415480613708,0,1,2
29,0,0.70625901222229,0,1,2
29,1,0.70625901222229,1,0,1
29,2,0.70625901222229,0,1,2
29,3,0.70625901222229,0,1,2
29,4,0.70625901222229,0,1,1
30,0,0.7062745094299316,1,0,2
30,1,0.7062745094299316,0,1,2
30,2,0.7062745094299316,0,1,1
30,3,0.7062745094299316,0,1,2
30,4,0.7062745094299316,1,0,0
31,0,0.7072762250900269,0,1,2
31,1,0.7072762250900269,0,1,1
31,2,0.7072762250900269,0,1,2
31,3,0.7072762250900269,1,0,1
31,4,0.7072762250900269,1,0,1
32,0,0.7080010175704956,1,0,1
32,1,0.7080010175704956,0,1,1
32,2,0.7080010175704956,0,1,1
32,3,0.7080010175704956,0,1,1
32,4,0.7080010175704956,0,1,2
33,0,0.7083500027656555,0,1,2
33,1,0.7083500027656555,0,1,2
33,2,0.7083500027656555,0,1,2
33,3,0.7083500027656555,0,1,1
33,4,0.7083500027656555,0,1,2
34,0,0.7085629105567932,0,1,1
34,1,0.7085629105567932,0,1,2
34,2,0.7085629105567932,0,1,1
34,3,0.7085629105567932,0,1,1
34,4,0.7085629105567932,1,0,1
35,0,0.7090009450912476,0,1,1
35,1,0.7090009450912476,0,1,1
35,2,0.7090009450912476,0,1,1
35,3,0.7090009450912476,0,1,1
35,4,0.7090009450912476,1,0,1
36,0,0.7096219658851624,0,1,2
36,1,0.7096219658851624,1,0,1
36,2,0.7096219658851624,0,1,2
36,3,0.7096219658851624,0,1,2
36,4,0.7096219658851624,0,1,2
37,0,0.709705114364624,0,1,2
37,1,0.709705114364624,1,0,1
37,2,0.709705114364624,0,1,2
37,3,0.709705114364624,0,1,2
37,4,0.709705114364624,0,1,2
38,0,0.7104818224906921,1,0,1
38,1,0.7104818224906921,0,1,2
38,2,0.7104818224906921,0,1,2
38,3,0.7104818224906921,0,1,2
38,4,0.7104818224906921,0,1,1
39,0,0.7110467553138733,0,1,1
39,1,0.7110467553138733,0,1,1
39,2,0.7110467553138733,0,1,2
39,3,0.7110467553138733,0,1,1
39,4,0.7110467553138733,0,1,2
40,0,0.7115879058837891,1,0,1
40,1,0.7115879058837891,1,0,1
40,2,0.7115879058837891,0,1,2
40,3,0.7115879058837891,0,1,1
40,4,0.7115879058837891,0,1,2
41,0,0.711990475654602,0,1,1
41,1,0.711990475654602,0,1,1
41,2,0.711990475654602,0,1,2
41,3,0.711990475654602,0,1,2
41,4,0.711990475654602,0,1,2
42,0,0.7120210528373718,0,1,2
42,1,0.7120210528373718,0,1,2
42,2,0.7120210528373718,0,1,1
42,3,0.7120210528373718,0,1,2
42,4,0.7120210528373718,0,1,1
43,0,0.7121703624725342,0,1,1
43,1,0.7121703624725342,0,1,1
43,2,0.7121703624725342,1,0,1
43,3,0.7121703624725342,0,1,2
43,4,0.7121703624725342,1,0,1
44,0,0.7125310301780701,1,0,1
44,1,0.7125310301780701,1,0,0
44,2,0.7125310301780701,0,1,2
