feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,6,6,4,2,0,0.3333333333333333,0.6666666666666666,0.3333333333333333
Fruits,monotonic_up,global,5,5,2,3,0,-0.2,0.4,0.6
Veggies,monotonic_up,global,6,6,4,2,0,0.3333333333333333,0.6666666666666666,0.3333333333333333
AnyHealthcare,monotonic_up,global,9,9,0,9,0,-1.0,0.0,1.0
CholCheck,monotonic_up,global,31,31,0,31,0,-1.0,0.0,1.0
Education,monotonic_up,global,11,11,2,9,0,-1.4545454545454546,0.18181818181818182,0.8181818181818182
Income,monotonic_up,global,13,13,12,1,0,5.0,0.9230769230769231,0.07692307692307693
Smoker,monotonic_down,global,5,5,3,2,0,-0.2,0.6,0.4
HvyAlcoholConsump,monotonic_down,global,19,19,0,19,0,1.0,0.0,1.0
NoDocbcCost,monotonic_down,global,3,3,0,3,0,1.0,0.0,1.0
HighBP,monotonic_down,global,21,21,21,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,16,16,16,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,global,32,32,31,1,0,-2.09375,0.96875,0.03125
MentHlth,monotonic_down,global,7,7,3,4,0,-2.2857142857142856,0.42857142857142855,0.5714285714285714
PhysHlth,monotonic_down,global,7,7,7,0,0,-17.857142857142858,1.0,0.0
BMI,bidirectional,global,100,100,100,0,0,-22.482999999999997,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,9,9,9,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,3,3,3,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,2,2,2,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,10,10,10,0,0,1.4,1.0,0.0
Income,monotonic_up,per_query,22,22,22,0,0,4.909090909090909,1.0,0.0
Smoker,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,1,1,1,0,0,-1.0,1.0,0.0
HighBP,monotonic_down,per_query,23,23,23,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,23,23,23,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,54,54,54,0,0,-2.3703703703703702,1.0,0.0
MentHlth,monotonic_down,per_query,5,5,5,0,0,-8.0,1.0,0.0
PhysHlth,monotonic_down,per_query,17,17,17,0,0,-15.117647058823529,1.0,0.0
BMI,bidirectional,per_query,131,131,131,0,0,-21.455725190839683,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
