feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,22,22,17,5,0,0.5454545454545454,0.7727272727272727,0.22727272727272727
Fruits,monotonic_up,global,20,20,7,13,0,-0.3,0.35,0.65
Veggies,monotonic_up,global,24,25,3,22,0,-0.76,0.12,0.88
AnyHealthcare,monotonic_up,global,34,43,0,43,0,-1.0,0.0,1.0
CholCheck,monotonic_up,global,98,158,0,158,0,-1.0,0.0,1.0
Education,monotonic_up,global,38,39,13,26,0,-0.8974358974358975,0.3333333333333333,0.6666666666666666
Income,monotonic_up,global,55,70,54,16,0,3.2,0.7714285714285715,0.22857142857142856
Smoker,monotonic_down,global,21,22,9,13,0,0.18181818181818182,0.4090909090909091,0.5909090909090909
HvyAlcoholConsump,monotonic_down,global,50,59,0,59,0,1.0,0.0,1.0
NoDocbcCost,monotonic_down,global,27,30,7,23,0,0.5333333333333333,0.23333333333333334,0.7666666666666667
HighBP,monotonic_down,global,93,129,129,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,58,74,71,3,0,-0.918918918918919,0.9594594594594594,0.04054054054054054
GenHlth,monotonic_down,global,83,109,105,4,0,-1.981651376146789,0.963302752293578,0.03669724770642202
MentHlth,monotonic_down,global,54,64,15,49,0,8.734375,0.234375,0.765625
PhysHlth,monotonic_down,global,43,48,33,15,0,-8.395833333333334,0.6875,0.3125
BMI,bidirectional,global,181,460,460,0,0,-21.716086956521742,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,25,27,27,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,12,14,14,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,3,3,3,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,2,2,2,0,0,1.0,1.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,33,40,40,0,0,1.5,1.0,0.0
Income,monotonic_up,per_query,88,115,115,0,0,4.773913043478261,1.0,0.0
Smoker,monotonic_down,per_query,12,12,12,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,10,12,12,0,0,-1.0,1.0,0.0
HighBP,monotonic_down,per_query,128,200,200,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,73,103,103,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,116,189,189,0,0,-2.111111111111111,1.0,0.0
MentHlth,monotonic_down,per_query,40,54,54,0,0,-11.962962962962964,1.0,0.0
PhysHlth,monotonic_down,per_query,48,62,62,0,0,-12.258064516129032,1.0,0.0
BMI,bidirectional,per_query,189,637,637,0,0,-21.690109890109884,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
