feature,taxonomy_class,mode,n_queries_with_change,n_total_cf_changes,n_actionable,n_wrong_dir,n_immutable,mean_delta_signed,actionability_rate,violation_rate
Age,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,global,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,global,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,global,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,global,38,40,31,9,0,0.55,0.775,0.225
Fruits,monotonic_up,global,27,30,12,18,0,-0.2,0.4,0.6
Veggies,monotonic_up,global,25,27,8,19,0,-0.4074074074074074,0.2962962962962963,0.7037037037037037
AnyHealthcare,monotonic_up,global,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,global,116,198,0,198,0,-1.0,0.0,1.0
Education,monotonic_up,global,0,0,0,0,0,0.0,0.0,0.0
Income,monotonic_up,global,0,0,0,0,0,0.0,0.0,0.0
Smoker,monotonic_down,global,21,21,11,10,0,-0.047619047619047616,0.5238095238095238,0.47619047619047616
HvyAlcoholConsump,monotonic_down,global,79,112,0,112,0,1.0,0.0,1.0
NoDocbcCost,monotonic_down,global,28,28,4,24,0,0.7142857142857143,0.14285714285714285,0.8571428571428571
HighBP,monotonic_down,global,79,100,100,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,global,52,62,60,2,0,-0.9354838709677419,0.967741935483871,0.03225806451612903
GenHlth,monotonic_down,global,93,125,123,2,0,-2.216,0.984,0.016
MentHlth,monotonic_down,global,62,79,18,61,0,5.569620253164557,0.22784810126582278,0.7721518987341772
PhysHlth,monotonic_down,global,53,64,55,9,0,-12.640625,0.859375,0.140625
BMI,bidirectional,global,186,534,534,0,0,-20.767790262172294,1.0,0.0
DiffWalk,conditional,global,0,0,0,0,0,0.0,0.0,0.0
Age,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Sex,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
Stroke,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
HeartDiseaseorAttack,immutable,per_query,0,0,0,0,0,0.0,0.0,0.0
PhysActivity,monotonic_up,per_query,38,42,42,0,0,1.0,1.0,0.0
Fruits,monotonic_up,per_query,12,15,15,0,0,1.0,1.0,0.0
Veggies,monotonic_up,per_query,12,14,14,0,0,1.0,1.0,0.0
AnyHealthcare,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
CholCheck,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Education,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Income,monotonic_up,per_query,0,0,0,0,0,0.0,0.0,0.0
Smoker,monotonic_down,per_query,18,20,20,0,0,-1.0,1.0,0.0
HvyAlcoholConsump,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
NoDocbcCost,monotonic_down,per_query,0,0,0,0,0,0.0,0.0,0.0
HighBP,monotonic_down,per_query,108,178,178,0,0,-1.0,1.0,0.0
HighChol,monotonic_down,per_query,82,112,112,0,0,-1.0,1.0,0.0
GenHlth,monotonic_down,per_query,133,222,222,0,0,-2.175675675675676,1.0,0.0
MentHlth,monotonic_down,per_query,36,47,47,0,0,-11.446808510638299,1.0,0.0
PhysHlth,monotonic_down,per_query,71,93,93,0,0,-14.688172043010752,1.0,0.0
BMI,bidirectional,per_query,198,753,753,0,0,-21.040239043824688,1.0,0.0
DiffWalk,conditional,per_query,0,0,0,0,0,0.0,0.0,0.0
