i,n_cfs,validity,proximity_L1,sparsity,diversity,plausibility_kNN50,actionability,wrong_direction_violations,immutable_violations
0,5,0.8,1.1084848484848484,0.06666666666666667,19.479999999999997,3.121268712339106,0.8,0.0,0.0
1,5,1.0,1.6393939393939394,0.09523809523809523,16.22,3.568376614923998,0.9,0.2,0.0
2,5,0.8,1.476969696969697,0.06666666666666667,39.0,6.940551356718175,1.0,0.0,0.0
3,5,0.8,1.5424242424242425,0.08571428571428572,22.14,5.3077518572269895,1.0,0.0,0.0
4,5,0.4,1.4151515151515153,0.05714285714285714,30.359999999999996,3.1895525504059554,1.0,0.0,0.0
5,5,1.0,1.6912121212121214,0.09523809523809523,6.160000000000001,4.428254556082967,0.9,0.2,0.0
6,5,0.8,1.1600000000000001,0.06666666666666667,5.6,4.893724154118447,1.0,0.0,0.0
7,5,0.4,1.0684848484848486,0.06666666666666667,9.64,3.0505329876432183,1.0,0.0,0.0
8,5,0.6,1.1512121212121214,0.0761904761904762,28.26,3.8806594273760946,1.0,0.0,0.0
9,5,0.8,1.6821212121212121,0.08571428571428572,25.0,3.2906079404474657,1.0,0.0,0.0
10,5,0.8,1.1375757575757575,0.0761904761904762,9.400000000000002,3.054985802418517,0.9,0.2,0.0
11,5,1.0,1.1342424242424243,0.0761904761904762,13.219999999999999,4.835958649369984,1.0,0.0,0.0
12,5,0.4,0.6787878787878787,0.047619047619047616,7.0,2.492460420473922,1.0,0.0,0.0
13,5,0.6,0.7442424242424241,0.0380952380952381,15.559999999999999,3.8583654304040795,0.6,0.0,0.0
14,5,1.0,1.6439393939393938,0.09523809523809523,5.860000000000001,2.0121697862723606,1.0,0.0,0.0
15,5,0.8,1.3893939393939394,0.06666666666666667,35.18,5.956442713319573,0.8,0.0,0.0
16,5,0.8,0.7945454545454547,0.05714285714285714,9.5,3.2448804019306916,1.0,0.0,0.0
17,5,0.8,1.0560606060606061,0.0761904761904762,12.040000000000001,3.001404213888781,1.0,0.0,0.0
18,5,0.8,1.544848484848485,0.0761904761904762,14.879999999999999,2.4527636310077896,0.9,0.2,0.0
19,5,0.6,1.105151515151515,0.06666666666666667,14.459999999999999,3.7256370015700386,1.0,0.0,0.0
20,5,0.8,1.5584848484848484,0.06666666666666667,13.559999999999999,3.6145251438650425,1.0,0.0,0.0
21,5,0.8,1.3818181818181818,0.0761904761904762,9.84,3.767391744090601,1.0,0.0,0.0
22,5,1.0,1.5421212121212122,0.08571428571428572,8.7,3.22156028873543,0.9,0.2,0.0
23,5,0.8,1.0036363636363634,0.047619047619047616,10.08,2.830606514234032,1.0,0.0,0.0
24,5,1.0,1.2187878787878788,0.08571428571428572,13.0,2.3891253856424655,1.0,0.0,0.0
25,5,0.6,1.0218181818181817,0.05714285714285714,17.860000000000003,4.866867368981217,0.8,0.0,0.0
26,5,1.0,1.5842424242424245,0.08571428571428572,19.7,3.156572831764943,1.0,0.0,0.0
27,5,1.0,1.8590909090909093,0.08571428571428572,6.68,2.828922300119473,1.0,0.0,0.0
28,5,0.8,0.7484848484848485,0.05714285714285714,19.46,5.035785411957828,1.0,0.0,0.0
29,5,0.8,1.1803030303030304,0.06666666666666667,8.98,2.223946817937068,0.9,0.2,0.0
30,5,0.8,1.1415151515151514,0.06666666666666667,14.86,5.677406619411713,0.8,0.0,0.0
31,5,0.8,0.9006060606060607,0.0761904761904762,8.4,4.993515623420389,1.0,0.0,0.0
32,5,1.0,1.3775757575757577,0.08571428571428572,9.32,5.602712397831416,1.0,0.0,0.0
33,5,0.8,2.541818181818182,0.06666666666666667,35.28,6.887578599843687,1.0,0.0,0.0
34,5,0.8,1.1345454545454545,0.06666666666666667,6.839999999999999,3.066699573970696,1.0,0.0,0.0
